map,Route101_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x31D8,0x31D9,0x31DA,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x31E0,0x31E1,0x31E2,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD
2,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5
3,0x05E4,0x35E7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x05E4,0x05E5,0x05DC,0x05DD
4,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5
5,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31C7,0x300D,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5
6,0x05D4,0x05D7,0x300D,0x300D,0x3001,0x3001,0x046E,0x0487,0x0487,0x0487,0x04D6,0x05D6,0x05D7,0x31C6,0x31C7,0x300D,0x300D,0x3001,0x3001,0x3001
7,0x05DC,0x05DD,0x04D5,0x0487,0x0487,0x0487,0x048E,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05D4,0x05D7,0x3001,0x3001,0x31D0,0x31D2,0x3001
8,0x05D4,0x05D5,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05E4,0x05E7,0x3001,0x31D0,0x31D9,0x31DA,0x3001
9,0x05DC,0x05DD,0x05D4,0x05D7,0x3001,0x0403,0x3001,0x31D0,0x31D1,0x31D2,0x3001,0x05E6,0x05E7,0x300D,0x300D,0x3001,0x31E0,0x31D9,0x31D9,0x31D2
10,0x05D4,0x05D5,0x05DC,0x05DD,0x3001,0x31D0,0x31D1,0x31D9,0x31D9,0x31DA,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x31E0,0x31D9,0x31DA
11,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x31E0,0x31D9,0x31D9,0x31D9,0x31E2,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x31E0,0x31E2
12,0x05D4,0x05D5,0x05E4,0x05E7,0x3001,0x3001,0x31E0,0x31E1,0x31E2,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001
13,0x05E4,0x05E7,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x04D5,0x0487,0x0487,0x04D6,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x3001,0x31CE,0x31CF
14,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D7,0x300D,0x300D,0x3001,0x3001,0x05D6,0x05D5
15,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x31C6,0x31C7,0x31CE,0x31CF,0x05DC,0x05DD
16,0x05D4,0x05D7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
17,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
18,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
19,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
