map,Route103_Layout,width,80,height,20,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0473,0x0471,0x0471,0x0473,0x0471,0x0471,0x0471,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471,0x0471,0x0475
1,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x1190,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1170,0x1192,0x047B,0x047C,0x0489,0x0473,0x0471,0x0471,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475
2,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x1190,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x119A,0x1189,0x1181,0x0473,0x047B,0x0489,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475
3,0x05DC,0x05DD,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x31D0,0x31D1,0x31D1,0x31D2,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x047B,0x0489,0x0473,0x0471,0x0474,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x0471,0x0471,0x0471,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D
4,0x05D4,0x05D5,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31E1,0x31E2,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x1188,0x1189,0x1198,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x119A,0x1181,0x0473,0x047B,0x047C,0x047D,0x0474,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x0491,0x0491,0x0479,0x0479,0x0479,0x0491,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE
5,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x346F,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x0564,0x0551,0x1170,0x1170,0x057D,0x057E,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x1170,0x0550,0x0551,0x057D,0x057E,0x0575,0x0576,0x0550,0x0565,0x0473,0x0471,0x0471,0x0471,0x0475,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x314B,0x354C,0x354C,0x354C,0x314D,0x04C7,0x0416,0x04C7,0x0416,0x04C7,0x0416,0x04C7,0x0416,0x04C7,0x04C7,0x04C7,0x0416,0x04C7,0x0416,0x04C7,0x04C7,0x04C7,0x04C7
6,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x348D,0x3487,0x3487,0x3487,0x3487,0x3487,0x34D6,0x05D4,0x05D5,0x05D4,0x05D5,0x056C,0x0559,0x0575,0x0576,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x057D,0x057E,0x0558,0x056D,0x047B,0x047C,0x047C,0x047C,0x047A,0x0416,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x3113,0x3114,0x3114,0x3114,0x3115,0x0416,0x300F,0x0416,0x300F,0x0416,0x3001,0x0416,0x3001,0x0416,0x0416,0x0416,0x300F,0x04C7,0x300F,0x04C7,0x0416,0x04C7,0x0417
7,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x1190,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x119A,0x1189,0x1189,0x1189,0x118A,0x3001,0x3001,0x3001,0x0416,0x04C6,0x04C6,0x04C7,0x04C7,0x300F,0x3001,0x300F,0x3001,0x300F,0x3001,0x0416,0x300F,0x0416,0x300F,0x3001,0x300F,0x3001,0x300F,0x300F,0x3001,0x04C7,0x0416,0x0416,0x0416,0x3001,0x0416,0x3001
8,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x31D0,0x31D1,0x31D1,0x31D1,0x31D2,0x3001,0x3001,0x3001,0x3001,0x1188,0x1189,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x300F,0x04C7,0x300F,0x04C7,0x300F,0x3001,0x0416,0x3001,0x0416,0x3001,0x0416,0x300F,0x0416,0x04C7,0x3001,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
9,0x05DC,0x05DD,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3403,0x3001,0x31E0,0x31E1,0x31D9,0x31D9,0x31D9,0x31D2,0x3001,0x3001,0x3001,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x3001,0x3118,0x3119,0x3119,0x311A,0x3001,0x0416,0x0416,0x0416,0x04C7,0x0416,0x04C7,0x0416,0x04C7,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x0416,0x3001,0x0416,0x3001,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119
