map,Route104_Layout,width,40,height,80,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x05D7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD
1,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5
2,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x3118,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x30C8,0x30CA,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD
3,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3120,0x3121,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x30D8,0x30D1,0x30CA,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5
4,0x05D4,0x35D5,0x05D4,0x35D5,0x05D4,0x35D5,0x300D,0x300D,0x05D4,0x35D5,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3121,0x3122,0x3001,0x3001,0x3001,0x30D8,0x30DA,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD
5,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x300D,0x35E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x30C8,0x30CA,0x3001,0x3001,0x3001,0x0403,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3004,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05D4,0x05D5
6,0x05D4,0x35D5,0x300D,0x3001,0x300D,0x300D,0x300D,0x3001,0x300D,0x300D,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x3001,0x30D8,0x30DA,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x30C8,0x30CA,0x3001,0x3001,0x3001,0x3001,0x314B,0x354C,0x354C,0x354C,0x314D,0x05DC,0x05DD
7,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x05D4,0x35D5,0x05D4,0x05D5,0x05D4,0x05D7,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x30C8,0x30CA,0x3001,0x3128,0x312A,0x3001,0x30D8,0x30DA,0x3001,0x3001,0x3001,0x3004,0x3113,0x3114,0x3114,0x3114,0x3115,0x05D4,0x05D5
8,0x05D4,0x35D5,0x300D,0x300D,0x300D,0x3001,0x300D,0x300D,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x30D8,0x30DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3004,0x3001,0x3004,0x3004,0x05DC,0x05DD
9,0x05DC,0x05DD,0x300D,0x3001,0x300D,0x300D,0x31C6,0x31C7,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x10B0,0x10B1,0x10B1,0x10B1,0x3350,0x3351,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B2,0x05D4,0x05D5
