map,Route107_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Dewford
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0x3239,0x3643,0x3643,0x3643,0x063A,0x3643,0x3643,0x3643,0x3643,0x1472,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551
1,0x3643,0x063A,0x0643,0x0643,0x3239,0x0643,0x063A,0x3643,0x063A,0x1472,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x0558,0x0559,0x0550,0x0551,0x1170,0x1170,0x1170,0x0550,0x0551,0x0558,0x0559
2,0x3643,0x3239,0x0643,0x063A,0x0643,0x0643,0x3239,0x063A,0x3124,0x1472,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x057D,0x057E,0x1170,0x1170,0x1170,0x0575,0x0576,0x057D,0x057E,0x1170,0x1170,0x0558,0x0559,0x1170,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170
3,0x3643,0x0643,0x0643,0x3239,0x063A,0x063A,0x0643,0x1474,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1572,0x057B,0x1574,0x1170,0x0575,0x0576,0x0550,0x0551,0x057D,0x057E,0x0550,0x0551,0x0558,0x0559,0x0550,0x0551,0x0575,0x0576,0x057D,0x057E,0x1170,0x1170,0x1572,0x057B,0x1574,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x057D,0x057E,0x0575,0x0576,0x1170,0x1170
4,0x063A,0x3643,0x0643,0x0643,0x3239,0x3239,0x0643,0x0472,0x0550,0x0551,0x0575,0x0576,0x1170,0x1170,0x0550,0x0551,0x0558,0x0559,0x0550,0x0551,0x057A,0x0071,0x057C,0x1170,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x0558,0x0559,0x057D,0x057E,0x1170,0x1170,0x1170,0x1572,0x04B4,0x0071,0x057C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170
5,0x3124,0x063A,0x3643,0x063A,0x0643,0x063A,0x063A,0x0472,0x0558,0x0559,0x057D,0x057E,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170,0x0558,0x0559,0x0582,0x0479,0x0584,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0582,0x0479,0x0479,0x0584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x3124,0x3124,0x063A,0x3124,0x063A,0x1474,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
7,0x1479,0x1479,0x1479,0x1479,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
8,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
9,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
