map,Route108_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Slateport
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x11AD,0x319B,0x319E,0x3594,0x319E,0x319E,0x355E,0x355F,0x319E,0x3594,0x355E,0x355F,0x319E,0x319E,0x0562,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551
2,0x0558,0x0559,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0563,0x355E,0x355F,0x319E,0x3594,0x3594,0x356E,0x356F,0x3594,0x319E,0x356E,0x356F,0x3594,0x3594,0x156A,0x0559,0x1170,0x1170,0x1170,0x31AD,0x31AE,0x31AE,0x31AE,0x31AE,0x11AF,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x0575,0x0576,0x0550,0x0551,0x0558,0x0559
3,0x1170,0x0550,0x0563,0x355E,0x355F,0x0562,0x0551,0x0558,0x0559,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x0550,0x0551,0x1170,0x1170,0x0558,0x056B,0x356E,0x356F,0x319E,0x319E,0x319E,0x355E,0x355F,0x319E,0x3351,0x3352,0x3353,0x3354,0x3594,0x11B7,0x1170,0x0575,0x0576,0x0550,0x0563,0x355E,0x355F,0x319E,0x3594,0x0562,0x0551,0x0558,0x0559,0x0575,0x0576,0x1170,0x1170,0x057D,0x057E,0x1170,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170
4,0x1170,0x0558,0x056B,0x356E,0x356F,0x156A,0x0559,0x1170,0x0550,0x0563,0x355E,0x355F,0x0562,0x0551,0x0558,0x0559,0x0575,0x0576,0x1170,0x11BD,0x11BE,0x11BE,0x11BE,0x11BE,0x11A3,0x356E,0x356F,0x3758,0x0759,0x075A,0x075B,0x375C,0x175D,0x11B7,0x1170,0x057D,0x057E,0x0558,0x056B,0x356E,0x356F,0x3594,0x319E,0x056A,0x0559,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x1170,0x1170,0x0558,0x056B,0x356E,0x356F,0x156A,0x0559,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11A3,0x319E,0x1760,0x0761,0x0762,0x0763,0x1764,0x1765,0x11B7,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11A3,0x319E,0x319E,0x11A4,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11A3,0x3369,0x336A,0x336B,0x11A4,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
8,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
9,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
