map,Route109_Layout,width,40,height,60,primary,gTileset_General,secondary,gTileset_Slateport
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x0558,0x0559
1,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x0550,0x0551
2,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x112B,0x1145,0x3124,0x32C0,0x32C1,0x32C1,0x32C1,0x32C2,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1146,0x112D,0x1170,0x0558,0x0559
3,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x06C8,0x06C9,0x06C9,0x06C9,0x06CA,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x0575,0x0576
4,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x06D8,0x06D1,0x06D3,0x06D1,0x06DA,0x3124,0x3124,0x3124,0x32E2,0x32E3,0x3124,0x3124,0x3124,0x3124,0x32E2,0x32E3,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x057D,0x057E
5,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x06CD,0x0413,0x02DB,0x0413,0x06CE,0x0403,0x3124,0x3124,0x32EA,0x32EB,0x3124,0x3124,0x3124,0x3124,0x32EA,0x32EB,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x0575,0x0576
6,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1123,0x32E4,0x32E5,0x3124,0x3124,0x3124,0x3124,0x32E4,0x32E5,0x3124,0x32F2,0x32F3,0x3124,0x32E4,0x32E5,0x3124,0x32F2,0x32F3,0x3124,0x32E4,0x32E5,0x3124,0x3124,0x3124,0x3124,0x3124,0x1146,0x112D,0x1170,0x1170,0x057D,0x057E
7,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1123,0x32EC,0x32ED,0x3124,0x3124,0x3124,0x3124,0x32EC,0x32ED,0x3124,0x3124,0x3124,0x3124,0x32EC,0x32ED,0x3124,0x3124,0x3124,0x3124,0x32EC,0x32ED,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x0575,0x0576,0x1170
8,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x32F4,0x32F5,0x3124,0x32E2,0x32E3,0x3124,0x32F4,0x32F5,0x32E1,0x3124,0x3124,0x3124,0x32F4,0x32F5,0x32E1,0x3124,0x3124,0x3124,0x32F4,0x32F5,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x057D,0x057E,0x1170
9,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x32E0,0x3124,0x3124,0x32EA,0x32EB,0x3124,0x3124,0x0124,0x42E9,0x0124,0x3124,0x3124,0x3124,0x0124,0x42E9,0x0124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x0550,0x0551,0x1170,0x1170
