map,Route109_SeashoreHouse_Layout,width,15,height,10,primary,gTileset_Building,secondary,gTileset_SeashoreHouse
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0602,0x0602,0x0604,0x0605,0x062E,0x062F,0x0602,0x0602,0x0602,0x0604,0x0605,0x0602,0x0602,0x0603
1,0x0609,0x0606,0x0607,0x060C,0x060D,0x0636,0x0637,0x061F,0x060A,0x060A,0x060C,0x060D,0x0606,0x0607,0x060B
2,0x3211,0x060E,0x060F,0x321E,0x321A,0x321A,0x3212,0x0627,0x321E,0x321A,0x321A,0x321A,0x060E,0x060F,0x3213
3,0x3222,0x322C,0x322C,0x322D,0x3224,0x3224,0x322C,0x322C,0x322D,0x3224,0x3224,0x3224,0x322C,0x322C,0x3226
4,0x0620,0x0619,0x3225,0x0618,0x0610,0x0619,0x3225,0x3225,0x0618,0x0610,0x0619,0x3225,0x3225,0x0618,0x0621
5,0x3214,0x321A,0x322A,0x321A,0x321A,0x321A,0x322A,0x322A,0x321A,0x321A,0x321A,0x322A,0x322A,0x321A,0x3215
6,0x0620,0x0619,0x3224,0x0618,0x0610,0x0619,0x3224,0x3224,0x0618,0x0610,0x0619,0x3224,0x3224,0x0618,0x0621
7,0x321C,0x321B,0x3225,0x321B,0x321B,0x321B,0x3225,0x3225,0x321B,0x321B,0x321B,0x3225,0x3225,0x321B,0x321D
8,0x0620,0x0619,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x0618,0x0621
9,0x321C,0x321B,0x3225,0x3225,0x3225,0x3225,0x0216,0x0217,0x3225,0x3225,0x3225,0x3225,0x3225,0x321B,0x321D
