map,Route110_TrickHouseCorridor_Layout,width,15,height,24,primary,gTileset_Building,secondary,gTileset_GenericBuilding
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x06E3,0x0615,0x0615,0x0615,0x0615,0x0615,0x0615,0x0615,0x0615,0x0615,0x0615,0x06E4
1,0x0601,0x0601,0x0601,0x06EB,0x061D,0x061D,0x061D,0x061D,0x061D,0x061D,0x061D,0x061D,0x061D,0x061D,0x06EC
2,0x0601,0x0601,0x0601,0x32F3,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x32F4
3,0x0601,0x0601,0x0601,0x3221,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
4,0x0601,0x0601,0x0601,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
5,0x0601,0x0601,0x0601,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
6,0x06E3,0x0615,0x06E4,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
7,0x06EB,0x061D,0x06EC,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
8,0x32F3,0x3221,0x32F4,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
9,0x3221,0x3229,0x3229,0x3229,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
10,0x3221,0x3229,0x3229,0x3229,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
11,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
12,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
13,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
14,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
15,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
16,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
17,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
18,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
19,0x3221,0x3229,0x3229,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
20,0x3221,0x3229,0x3229,0x06E3,0x0615,0x06E4,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
21,0x3221,0x3229,0x3229,0x06EB,0x061D,0x06EC,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
22,0x3221,0x3229,0x3229,0x32F3,0x3221,0x32F4,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
23,0x3221,0x3229,0x3229,0x3229,0x3210,0x3211,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
