map,Route110_TrickHousePuzzle7_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0602,0x066F,0x0604
1,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3677,0x060C
2,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3267,0x067F,0x0680,0x3246,0x3684,0x3210,0x3210,0x3210,0x3210
3,0x3208,0x3208,0x3208,0x3267,0x3265,0x3208,0x3267,0x3208,0x0690,0x3208,0x3265,0x3208,0x3264,0x3266,0x3208
4,0x3208,0x3208,0x3208,0x3267,0x363E,0x3208,0x3267,0x3208,0x3260,0x3208,0x0680,0x3208,0x3266,0x3208,0x3208
5,0x0681,0x0683,0x3266,0x3267,0x3208,0x3267,0x3208,0x363E,0x3266,0x3208,0x067A,0x3257,0x3256,0x3257,0x3257
6,0x3257,0x3257,0x3256,0x325B,0x3257,0x3257,0x327B,0x325B,0x3256,0x3274,0x4275,0x426E,0xF25D,0x426E,0x426E
7,0x426D,0x426D,0xF25C,0x426D,0x4275,0x4279,0x4275,0x426E,0x426E,0x426E,0x426E,0x0670,0x325E,0x0670,0x024E
8,0x024E,0x0670,0x325E,0x067D,0x024F,0x0670,0x024F,0x067D,0x067D,0x067D,0x0670,0x3278,0x3276,0x3278,0x324E
9,0x324E,0x3278,0x3276,0x3285,0x324F,0x3278,0x324F,0x3285,0x3285,0x3285,0x3278,0x3264,0x3266,0x3208,0x3266
10,0x3266,0x3264,0x3266,0x3267,0x3208,0x063E,0x3267,0x3208,0x3208,0x3208,0x3208,0x3208,0x3266,0x3264,0x3266
11,0x3266,0x3266,0x3267,0x3208,0x0680,0x3208,0x3267,0x3264,0x3208,0x3208,0x3208,0x3208,0x063E,0x3208,0x3265
12,0x3266,0x3266,0x3267,0x3208,0x0690,0x3208,0x3267,0x3263,0x3265,0x3265,0x3265,0x3265,0x3265,0x0680,0x3266
13,0x3266,0x3266,0x3267,0x3265,0x3265,0x3265,0x3265,0x3265,0x3265,0x3265,0x3265,0x3265,0x3261,0x0690,0x3266
14,0x3266,0x3266,0x3267,0x3208,0x3208,0x3208,0x3208,0x3264,0x3264,0x3264,0x3264,0x3267,0x3266,0x3265,0x3266
15,0x3266,0x3266,0x3267,0x3208,0x3267,0x3265,0x3265,0x3265,0x3265,0x3265,0x3267,0x3208,0x3265,0x3266,0x3266
16,0x3266,0x3266,0x3267,0x3208,0x3267,0x3267,0x3265,0x3265,0x3265,0x3208,0x3267,0x3208,0x363E,0x3266,0x3266
17,0x3208,0x3208,0x3267,0x3208,0x3208,0x3267,0x3208,0x3208,0x3208,0x3208,0x3267,0x3208,0x3208,0x3263,0x3266
18,0x3208,0x3208,0x3267,0x0681,0x0683,0x3208,0x3208,0x3265,0x3265,0x3265,0x3265,0x3265,0x3208,0x3267,0x3266
19,0x3208,0x3208,0x3208,0x3247,0x3208,0x3208,0x3265,0x3208,0x3265,0x3265,0x3265,0x3265,0x3265,0x3265,0x3266
20,0x3208,0x3208,0x3208,0x3208,0x3208,0x3265,0x3265,0x3208,0x3208,0x3208,0x3267,0x3208,0x3208,0x3208,0x3266
21,0x3211,0x3212,0x3208,0x3208,0x3265,0x3265,0x3208,0x3208,0x3208,0x3208,0x3264,0x3264,0x3264,0x3264,0x3266
