map,Route111_Layout,width,40,height,140,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x0471,0x0471,0x0493,0x0494,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0493,0x0494,0x0471,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
1,0x0471,0x0471,0x049B,0x049C,0x0471,0x0471,0x0471,0x0493,0x0494,0x0471,0x0471,0x0471,0x049B,0x049C,0x0474,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0474,0x047C,0x05A0,0x0489,0x0471,0x0471,0x0471
2,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x049B,0x049C,0x0471,0x0471,0x0471,0x0471,0x0474,0x047D,0x0493,0x0494,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x0489,0x0493,0x0494,0x047B,0x047C,0x047C,0x047C,0x047D,0x3071,0x3071,0x0473,0x0471,0x0471,0x0471
3,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x049B,0x049C,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0473,0x049B,0x049C,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x046B,0x04BE,0x0493,0x0494,0x0471
4,0x047C,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0489,0x0473,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0473,0x0471,0x049B,0x049C,0x0471
5,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0474,0x0479,0x0479,0x0479,0x0479,0x047A,0x314B,0x354C,0x354C,0x314D,0x314B,0x354C,0x354C,0x314D,0x0470,0x047B,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x0489,0x0471,0x0471,0x0471
6,0x0479,0x0479,0x0479,0x0479,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047A,0x3001,0x0403,0x3001,0x3001,0x3001,0x3113,0x3114,0x3114,0x3115,0x3113,0x3114,0x3114,0x3115,0x0478,0x0489,0x047B,0x0668,0x30E8,0x0669,0x047C,0x0489,0x3071,0x3071,0x3071,0x0473,0x0471,0x0471,0x0471
7,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x0670,0x30E8,0x0671,0x0489,0x0473,0x3071,0x3071,0x3071,0x0473,0x0471,0x0471,0x0471
8,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0473,0x3071,0x3071,0x3071,0x0473,0x0471,0x0471,0x0471
9,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3121,0x3121,0x3121,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0473,0x3071,0x3071,0x3071,0x0473,0x0471,0x0493,0x0494
