map,Route112_Layout,width,40,height,60,primary,gTileset_General,secondary,gTileset_Lavaridge
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
1,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
2,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
3,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
4,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
5,0x0716,0x0716,0x0716,0x0716,0x0716,0x0716,0x0716,0x0716,0x0716,0x066C,0x066C,0x066C,0x066C,0x066D,0x3401,0x0417,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x04C6,0x04C6,0x04C6
6,0x0669,0x0669,0x0669,0x0669,0x066A,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x067F,0x066C,0x066C,0x0716,0x0716,0x0716,0x0716,0x0716,0x066C,0x066C,0x066D,0x0417,0x04C6,0x314B,0x354C,0x354C,0x354C,0x354C,0x314D,0x0416,0x0416,0x0416,0x300D,0x300D,0x0416,0x0416,0x04C6
7,0x0669,0x0669,0x0669,0x066A,0x067F,0x0669,0x0669,0x0669,0x0669,0x066A,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0672,0x066D,0x0417,0x3113,0x3114,0x3114,0x3114,0x3114,0x3115,0x34E0,0x300D,0x300D,0x300D,0x300D,0x300D,0x34E0,0x0416
8,0x0669,0x0669,0x066A,0x067F,0x066A,0x0671,0x0671,0x0671,0x0671,0x067F,0x0669,0x0669,0x066A,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0672,0x071C,0x366B,0x366D,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001
9,0x0669,0x066A,0x067F,0x066A,0x0672,0x066A,0x0668,0x0669,0x0669,0x0669,0x066A,0x0671,0x0672,0x0669,0x0669,0x0669,0x0669,0x066A,0x0671,0x0671,0x067B,0x0674,0x0656,0x067A,0x071C,0x3673,0x3675,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001
