map,Route113_Layout,width,100,height,20,primary,gTileset_General,secondary,gTileset_Fallarbor
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x02FD,0x0670,0x0670,0x0670,0x062E,0x0604,0x366E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x060C,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x0601,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C
1,0x0715,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x0679,0x02FD,0x0670,0x0670,0x0670,0x061E,0x060C,0x0676,0x0675,0x060D,0x060C,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x060D,0x060C,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x066D,0x066E,0x066D,0x3205,0x3204,0x066E,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x3218,0x0609,0x0471,0x046B,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C
2,0x031D,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031F,0x0670,0x0670,0x0670,0x061E,0x0604,0x366E,0x066D,0x3205,0x3204,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x3205,0x3204,0x066E,0x066D,0x066E,0x02DE,0x02DF,0x02DF,0x06FE,0x066D,0x066E,0x066D,0x066E,0x066D,0x3205,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x062F,0x3218,0x3218,0x3218,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x3218,0x3218,0x3218,0x062F,0x3218,0x3218,0x3218,0x3218,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x061A,0x062F,0x320A,0x320A,0x320A,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x04BE,0x046B,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
3,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0678,0x0670,0x0670,0x061E,0x060C,0x0676,0x0675,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x060C,0x066D,0x066E,0x066D,0x066E,0x060D,0x06E6,0x06E7,0x06E7,0x0706,0x060C,0x060D,0x060C,0x060D,0x060C,0x060D,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x061F,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x3218,0x3218,0x3229,0x3218,0x061F,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x0619,0x061F,0x320A,0x320A,0x320A,0x0609,0x0471,0x0493,0x0494,0x0471,0x046B,0x046C,0x046C,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
4,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0678,0x0670,0x061E,0x0604,0x366E,0x066D,0x0605,0x061B,0x061C,0x061C,0x061C,0x061C,0x061C,0x0625,0x060C,0x060D,0x060C,0x060D,0x3218,0x06EE,0x06EF,0x02FF,0x070E,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0601,0x0602,0x0602,0x0603,0x320A,0x320A,0x320A,0x061F,0x3218,0x3218,0x3616,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x061F,0x3218,0x3218,0x3218,0x3229,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x061F,0x320A,0x320A,0x320A,0x0609,0x0471,0x049B,0x049C,0x0471,0x047B,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047C
5,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0678,0x061E,0x060C,0x0676,0x0675,0x060D,0x3218,0x3218,0x3229,0x3218,0x3218,0x3218,0x061E,0x3218,0x3218,0x3218,0x3218,0x0403,0x06F6,0x06F7,0x0707,0x070F,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0609,0x0471,0x0471,0x060B,0x320A,0x320A,0x320A,0x061F,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x061F,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x061F,0x320A,0x320A,0x320A,0x0611,0x047C,0x047C,0x047C,0x047C,0x0491,0x0489,0x04E1,0x047B,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471
6,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x061E,0x0604,0x366E,0x066D,0x3205,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x061E,0x3218,0x3218,0x3229,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x0609,0x0471,0x0471,0x060B,0x3218,0x3218,0x3218,0x061F,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0601,0x0602,0x0603,0x061F,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3218,0x3218,0x3218,0x3218,0x3218,0x061F,0x320A,0x320A,0x320A,0x320A,0x0403,0x3218,0x3218,0x32DA,0x3001,0x0478,0x0479,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x0479
7,0x3288,0x3289,0x3289,0x3289,0x328A,0x3279,0x3288,0x32EC,0x3289,0x3289,0x328A,0x3279,0x329F,0x3279,0x32D3,0x061E,0x060C,0x0676,0x0675,0x060D,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x061E,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x3218,0x3218,0x0609,0x0471,0x0471,0x060B,0x3218,0x3218,0x3218,0x061F,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0609,0x0471,0x060B,0x061F,0x060C,0x066D,0x066E,0x066D,0x066E,0x060D,0x061B,0x061C,0x061C,0x061C,0x061C,0x0627,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x32E2,0x3001,0x3001,0x3001,0x0478,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x3001
8,0x3290,0x329B,0x329B,0x3291,0x3292,0x3279,0x3290,0x3291,0x329B,0x329B,0x3292,0x3279,0x3279,0x32D3,0x3218,0x061E,0x3218,0x060C,0x060D,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0626,0x061C,0x061C,0x0625,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x0601,0x0602,0x0602,0x0602,0x0603,0x3218,0x3218,0x3218,0x0611,0x05A0,0x0479,0x0613,0x061B,0x061C,0x061C,0x0627,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x0609,0x0471,0x060B,0x061F,0x3204,0x0675,0x060D,0x060C,0x060D,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x32E2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3119
9,0x3298,0x3299,0x3299,0x32FC,0x329A,0x3279,0x3298,0x3299,0x32FC,0x3299,0x329A,0x0403,0x3279,0x32DB,0x3218,0x0626,0x061C,0x061C,0x061D,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x061E,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x0609,0x0471,0x0471,0x0471,0x060B,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x0611,0x0479,0x0613,0x061F,0x060C,0x060D,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x32E2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3128,0x3129
