map,Route115_Layout,width,40,height,80,primary,gTileset_General,secondary,gTileset_Fallarbor
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x1145,0x0488,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x0640,0x0643,0x0643,0x0641,0x0643,0x064B,0x064C,0x064B,0x0665,0x064C,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641
1,0x1123,0x0488,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0640,0x0643,0x0643,0x0641,0x064B,0x064C,0x0643,0x0641,0x0641,0x0643,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641
2,0x1123,0x0488,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0638,0x0633,0x0643,0x0643,0x0641,0x0641,0x0643,0x0643,0x0641,0x0641,0x064B,0x064C,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641
3,0x1123,0x0488,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0640,0x5241,0x0643,0x0643,0x0641,0x0641,0x0643,0x064B,0x0665,0x064C,0x0641,0x0643,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641
4,0x1123,0x0488,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x0416,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0417,0x0417,0x0640,0x5241,0x0643,0x064B,0x0665,0x064C,0x064B,0x064C,0x0641,0x0643,0x0641,0x064B,0x0665,0x0665,0x064C,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641,0x0641
5,0x1123,0x0488,0x04C6,0x04C6,0x0416,0x300D,0x300D,0x300D,0x0417,0x04C6,0x314B,0x354C,0x354C,0x354C,0x314D,0x0640,0x5241,0x0643,0x3241,0x3241,0x0643,0x0641,0x0643,0x0641,0x064B,0x064C,0x0641,0x0641,0x0641,0x064B,0x0665,0x0665,0x0665,0x0665,0x064C,0x0641,0x0641,0x0641,0x0641,0x0641
6,0x1123,0x0488,0x04C6,0x04C6,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C6,0x3113,0x3114,0x3114,0x3114,0x3115,0x0640,0x5241,0x0643,0x3241,0x3241,0x0643,0x0641,0x064B,0x064C,0x0641,0x064B,0x0665,0x0665,0x0665,0x0664,0x0664,0x0664,0x0608,0x064C,0x064B,0x0665,0x0665,0x064C,0x0641,0x0641
7,0x1123,0x0488,0x04C6,0x04C6,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C6,0x300E,0x3001,0x3001,0x300E,0x300E,0x0640,0x5241,0x0643,0x3241,0x0655,0x064B,0x0665,0x064C,0x064B,0x0665,0x0663,0x064C,0x0655,0x3241,0x3241,0x3241,0x3241,0x3241,0x064B,0x064C,0x0641,0x0641,0x0643,0x0641,0x0641
8,0x1123,0x0488,0x04C6,0x04C6,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C6,0x04C6,0x3001,0x3001,0x04C6,0x04C6,0x0648,0x064C,0x0643,0x3241,0x3241,0x3241,0x3241,0x064B,0x0608,0x064C,0x0641,0x064B,0x072A,0x30E8,0x072B,0x0665,0x064C,0x3241,0x3241,0x0643,0x0641,0x0641,0x0643,0x0641,0x0641
9,0x1123,0x0488,0x04C6,0x04C6,0x300E,0x300E,0x300D,0x300D,0x300E,0x04C6,0x04C6,0x3001,0x300E,0x04C6,0x04C6,0x300E,0x0640,0x0643,0x3241,0x3241,0x3241,0x3241,0x3241,0x3241,0x064B,0x0665,0x0664,0x0732,0x30E8,0x0733,0x064C,0x0643,0x3241,0x3241,0x0643,0x0641,0x0641,0x0643,0x0641,0x0641
