map,Route116_TunnelersRestHouse_Layout,width,10,height,9,primary,gTileset_Building,secondary,gTileset_GenericBuilding
y\x,0,1,2,3,4,5,6,7,8,9
0,0x06E3,0x06B1,0x06B2,0x0617,0x0615,0x0617,0x0615,0x06BE,0x06BF,0x06E4
1,0x06EB,0x06B9,0x06BA,0x061F,0x061D,0x061F,0x061D,0x06C6,0x06C7,0x06EC
2,0x32F3,0x32C1,0x32C2,0x3221,0x3221,0x3221,0x3221,0x32CE,0x32CF,0x32F4
3,0x3221,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
4,0x3259,0x064E,0x064F,0x3229,0x3229,0x3229,0x3229,0x064E,0x064F,0x3244
5,0x3221,0x0656,0x0657,0x3244,0x3229,0x3229,0x3244,0x0656,0x0657,0x3244
6,0x3221,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
7,0x3320,0x3318,0x3318,0x3318,0x3318,0x3318,0x3318,0x3318,0x3318,0x3318
8,0x3323,0x331B,0x331B,0x331B,0x0210,0x0211,0x331B,0x331B,0x331B,0x331B
