map,Route117_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0417,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x04C6,0x04C6,0x0417,0x0417,0x0235,0x0236,0x0237,0x0417,0x0417,0x3001,0x320D,0x300D,0x3001,0x3001,0x30D0,0x30D1,0x30D1,0x30D2,0x300E,0x3001,0x300D,0x300D,0x320A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
1,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x3001,0x3001,0x300D,0x300D,0x0417,0x0417,0x0417,0x0417,0x0417,0x0417,0x3001,0x3001,0x3001,0x3001,0x10B0,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B2,0x0417,0x04C6,0x06BA,0x3468,0x3473,0x3071,0x3475,0x3069,0x346A,0x300E,0x3001,0x3001,0x320D,0x300D,0x30D0,0x30D1,0x30D1,0x30D2,0x3416,0x3001,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
2,0x04C6,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x0416,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10C2,0x10B2,0x0417,0x0688,0x3470,0x347B,0x347C,0x347D,0x3071,0x3472,0x3416,0x3001,0x300D,0x300D,0x3001,0x30D0,0x30D1,0x30D9,0x30DA,0x300D,0x3001,0x3001,0x3008,0x3009,0x3009,0x300A,0x3001,0x3001,0x300E,0x3001,0x3001,0x3001
3,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0538,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x053A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10C2,0x10B2,0x0688,0x3470,0x3071,0x3071,0x3474,0x3479,0x347A,0x3001,0x300D,0x300D,0x300E,0x30C8,0x30D1,0x30D2,0x300D,0x320C,0x3001,0x3001,0x320B,0x0410,0x0411,0x0411,0x0412,0x3001,0x3001,0x3416,0x3001,0x3001,0x3001
4,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0540,0x3215,0x320C,0x3213,0x320A,0x3211,0x3208,0x0542,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x320A,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x0688,0x3478,0x3479,0x3479,0x347A,0x3001,0x3001,0x300D,0x3001,0x300D,0x3416,0x30D8,0x30D9,0x30DA,0x3001,0x3001,0x3001,0x320C,0x3001,0x0418,0x0419,0x040B,0x041A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
5,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x0540,0x320E,0x3215,0x320C,0x3213,0x320A,0x3211,0x0542,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3002,0x3002,0x3002,0x3002,0x10CC,0x10A1,0x10A1,0x10A1,0x10BA,0x0690,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x3001,0x0691,0x0403,0x0420,0x0421,0x0413,0x0422,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691
6,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0416,0x0540,0x3217,0x320E,0x3215,0x320C,0x3213,0x320A,0x0542,0x3001,0x0403,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x320A,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3208,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
7,0x3204,0x0416,0x0416,0x0416,0x0416,0x0416,0x3001,0x0540,0x320F,0x3217,0x320E,0x3215,0x320C,0x3213,0x0542,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3002,0x3002,0x10CC,0x10A1,0x10BA,0x3211,0x3001,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
8,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0548,0x0549,0x3001,0x3001,0x3001,0x3001,0x0549,0x054A,0x3001,0x3120,0x3121,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3002,0x3002,0x3002,0x3001,0x3001,0x3118,0x3119,0x3121,0x3121,0x3121,0x3129,0x3278,0x3279,0x3278,0x3279,0x3278,0x3279,0x3278,0x3279,0x3121,0x3121,0x3121,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
9,0x3204,0x3205,0x3001,0x3001,0x3205,0x3001,0x3205,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x3121,0x3121,0x312A,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3128,0x3129,0x3121,0x3121,0x3121,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001
