map,Route118_Layout,width,80,height,20,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0486,0x3124,0x1125,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x0485,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x0470,0x0473,0x0471,0x047B,0x0489,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0475,0x0472,0x04C6,0x3120,0x3121,0x3122,0x04C6,0x0470,0x0473,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0475,0x0472
1,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0417,0x0486,0x3124,0x1125,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x0485,0x0417,0x0417,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0470,0x0473,0x0471,0x0471,0x047B,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0472,0x04C6,0x3120,0x3121,0x3122,0x04C6,0x0470,0x047B,0x0489,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0475,0x0472
2,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C7,0x0417,0x0486,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x046E,0x0601,0x3124,0x1125,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x06BB,0x0487,0x046F,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x0470,0x047B,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0472,0x04C6,0x3120,0x3121,0x3122,0x04C6,0x0470,0x0471,0x0473,0x0471,0x047B,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0475,0x0472
3,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0486,0x04C7,0x04C7,0x04C7,0x046E,0x0601,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0417,0x0486,0x1146,0x112C,0x112D,0x1170,0x0550,0x0551,0x112B,0x1145,0x0480,0x0081,0x0482,0x0485,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x062F,0x04CE,0x04CE,0x04CE,0x04CE,0x0491,0x0491,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x04CE,0x047A,0x0416,0x3120,0x3121,0x3122,0x04C6,0x0470,0x0471,0x047B,0x047C,0x04A9,0x04A9,0x0489,0x0473,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0474,0x04A9,0x047D,0x0472
4,0x04C6,0x04C6,0x04C6,0x0417,0x0417,0x0486,0x0417,0x04C6,0x04C6,0x0486,0x300E,0x04C7,0x04C7,0x04C6,0x04C6,0x0417,0x046E,0x0487,0x0487,0x0601,0x1125,0x1170,0x0550,0x0551,0x0558,0x0559,0x0550,0x0555,0x0488,0x0071,0x048A,0x0485,0x0417,0x04C6,0x0417,0x0417,0x0417,0x0417,0x0417,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x301E,0x301F,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x0416,0x300D,0x3001,0x3120,0x3121,0x3122,0x0416,0x0478,0x0479,0x0491,0x0491,0x0491,0x0489,0x0473,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0475,0x0474,0x0491,0x047A
5,0x04C6,0x0417,0x0417,0x3001,0x3001,0x3507,0x3001,0x0417,0x0417,0x0486,0x0416,0x0417,0x0417,0x0417,0x0417,0x046E,0x0601,0x0480,0x0081,0x0482,0x0554,0x0551,0x0558,0x0559,0x1170,0x1170,0x0558,0x055D,0x0490,0x05A0,0x0492,0x06BB,0x046F,0x04C6,0x3246,0x354C,0x354C,0x354C,0x3247,0x0417,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x0426,0x0427,0x0417,0x0417,0x0417,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3128,0x3129,0x312A,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x0470,0x047B,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0474,0x047C,0x047D,0x0472,0x040F,0x040F
6,0x0417,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3486,0x3001,0x3001,0x3001,0x0403,0x34D5,0x0601,0x34E2,0x0488,0x0071,0x048A,0x055C,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x3124,0x04E2,0x0485,0x0417,0x07B1,0x3114,0x3114,0x3114,0x3115,0x3001,0x0417,0x0417,0x0417,0x0417,0x0417,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0478,0x05A0,0x04A9,0x04A9,0x0489,0x047B,0x04A9,0x04A9,0x047D,0x0474,0x0491,0x047A,0x04C7,0x04C7
7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3507,0x3001,0x3001,0x3001,0x3001,0x3118,0x326A,0x3124,0x0490,0x0479,0x0492,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x04E2,0x3124,0x3124,0x3124,0x06BB,0x0487,0x0487,0x046F,0x300E,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x0491,0x0491,0x0491,0x0491,0x047A,0x3001,0x300E,0x04C7,0x04C7
8,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3124,0x3124,0x3124,0x34E2,0x1146,0x112C,0x112D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0485,0x04C6,0x300E,0x3001,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x34D6,0x0403,0x3001,0x3001,0x3001,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x3487,0x34D6,0x0417,0x04C7,0x04C7
9,0x3001,0x3001,0x3001,0x3001,0x3206,0x34FF,0x3001,0x3206,0x3001,0x3001,0x3001,0x3001,0x3118,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1123,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0485,0x0417,0x04C6,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x0417,0x0417
