map,Route119_Layout,width,40,height,140,primary,gTileset_General,secondary,gTileset_Fortree
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x0417,0x0417,0x057C,0x1606,0x1606,0x057A,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7
1,0x04C7,0x04C7,0x04C7,0x04C7,0x06D7,0x06DF,0x06DF,0x06E7,0x04C7,0x04C7,0x04C7,0x04C7,0x0474,0x0479,0x0479,0x0584,0x1606,0x1606,0x057A,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
2,0x04C7,0x04C7,0x04C7,0x04C7,0x0670,0x0671,0x0671,0x0672,0x0417,0x0417,0x0417,0x0417,0x057C,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
3,0x04C7,0x04C7,0x04C7,0x04C7,0x300E,0x300E,0x300E,0x3001,0x0474,0x0479,0x0479,0x0479,0x0584,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7
4,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x0001,0x057C,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x0416,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x04C7,0x04C7,0x04C7
5,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x4001,0x4001,0x40F0,0x40F1,0x40F1,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x4001,0x04C7,0x04C7,0x04C7,0x314B,0x354C,0x354C,0x354C,0x314D,0x04C6,0x0416,0x04C6,0x0416,0x04C6,0x0416,0x0416,0x3001,0x3001,0x0417,0x0416,0x0417
6,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x4001,0x4001,0x4001,0x04F8,0x04F5,0x40ED,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x4001,0x04C7,0x04C7,0x04C7,0x32E6,0x3114,0x3114,0x3114,0x3115,0x0417,0x3001,0x0416,0x3001,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
7,0x04C7,0x04C7,0x04C7,0x04C7,0x0474,0x40EC,0x0479,0x0479,0x0584,0x1570,0x40FB,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F2,0x4001,0x04C7,0x04C7,0x04C7,0x04C7,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001
8,0x04C7,0x04C7,0x04C7,0x0417,0x057C,0x40F4,0x1606,0x1606,0x1606,0x1606,0x04F5,0x04F5,0x04F5,0x04F5,0x04F5,0x04F5,0x04F5,0x04F5,0x04FA,0x4001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x300F,0x3001,0x3001,0x3001,0x3118,0x3121,0x3121,0x3121,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001
9,0x04C7,0x0417,0x0417,0x0474,0x0584,0x40F4,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x1606,0x057A,0x4001,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x300F,0x341B,0x3001,0x3120,0x3121,0x3121,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
10,0x04C7,0x0474,0x3479,0x0584,0x1606,0x40F4,0x40F3,0x40F3,0x40F3,0x40F7,0x1606,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F1,0x40F2,0x4001,0x4001,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x3001,0x3001,0x3120,0x3121,0x3121,0x312A,0x3001,0x300E,0x300E,0x300F,0x300F,0x300F
