map,Route119_WeatherInstitute_1F_Layout,width,20,height,13,primary,gTileset_Building,secondary,gTileset_Lab
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x065F,0x065F,0x066E,0x066B,0x065F,0x065F,0x065F,0x066B,0x065F,0x065F,0x065F,0x065F,0x065F,0x0688,0x0689,0x065F,0x067C,0x067D,0x067E,0x065F
1,0x0667,0x0667,0x0404,0x066B,0x0667,0x0667,0x0667,0x066B,0x062C,0x062D,0x062C,0x062D,0x0667,0x0690,0x0691,0x0667,0x0684,0x0285,0x0686,0x067F
2,0x066C,0x066D,0x3276,0x066B,0x326A,0x327A,0x327A,0x066B,0x0634,0x0635,0x0634,0x0635,0x326A,0x3298,0x3299,0x327A,0x328C,0x328D,0x328E,0x0687
3,0x0674,0x0675,0x3252,0x0673,0x3272,0x3252,0x3252,0x0673,0x326A,0x327A,0x327A,0x327A,0x3277,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252
4,0x3272,0x3252,0x3252,0x0670,0x3272,0x3252,0x3252,0x0670,0x3272,0x3252,0x3252,0x0660,0x0661,0x3252,0x3252,0x3252,0x0660,0x0661,0x3252,0x3252
5,0x3272,0x3252,0x3252,0x0678,0x3272,0x3252,0x3252,0x0678,0x3272,0x3252,0x325E,0x0653,0x0654,0x3256,0x3252,0x325E,0x0653,0x0654,0x3256,0x3252
6,0x3272,0x3255,0x3252,0x3280,0x3277,0x3252,0x3252,0x3280,0x3277,0x3252,0x3252,0x068A,0x068B,0x3252,0x3252,0x3252,0x068A,0x068B,0x3252,0x3255
7,0x328F,0x0666,0x325A,0x3268,0x3252,0x3252,0x3252,0x3268,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x325A,0x0666
8,0x065F,0x065F,0x065F,0x0670,0x3252,0x3252,0x3252,0x0670,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F
9,0x0667,0x0667,0x0667,0x0678,0x3252,0x3252,0x3252,0x0678,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667,0x0667
10,0x326A,0x327A,0x327A,0x3280,0x3252,0x3252,0x3252,0x3280,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A,0x327A
11,0x3272,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3255,0x3252,0x3252,0x3255,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252
12,0x3272,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x065D,0x0206,0x0207,0x065D,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252,0x3252
