map,Route121_Layout,width,80,height,20,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x04C6,0x04C6,0x04C6,0x04C6,0x0475,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0658,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0730,0x0731,0x0731,0x0731,0x0732,0x05D4,0x05D5,0x3001,0x365A,0x0475,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x04C6,0x04C6,0x04C6,0x04C6,0x0475,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0658,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x0730,0x0731,0x0731,0x0731,0x0732,0x05E6,0x05E7,0x3001,0x065A,0x0475,0x0472,0x05E6,0x05E5,0x05E6,0x05E5,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05E6,0x05E5,0x05E6,0x05E5,0x05E6,0x05E5,0x05E6,0x05E5,0x05E6,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
2,0x04C6,0x04C6,0x0417,0x0417,0x0475,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3673,0x354C,0x354C,0x3675,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0658,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x0730,0x0731,0x0731,0x0731,0x0732,0x3001,0x3004,0x3001,0x065A,0x0475,0x0472,0x3001,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x3004,0x3001,0x3001,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
3,0x0417,0x0417,0x3001,0x3001,0x0475,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x327B,0x3114,0x3114,0x327D,0x35E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x35E7,0x0658,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x0738,0x0739,0x0739,0x0739,0x073A,0x3004,0x3001,0x3001,0x065A,0x0475,0x0472,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x3001,0x3004,0x3001,0x3001,0x3001,0x3004,0x3001,0x3004,0x3001,0x3004,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5
4,0x047C,0x047C,0x047C,0x047C,0x047D,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0733,0x0724,0x0725,0x0726,0x0735,0x0651,0x0651,0x0651,0x0652,0x0475,0x0472,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0741,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652
5,0x0491,0x0491,0x0491,0x0491,0x0491,0x0444,0x35E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x35E7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x3001,0x0742,0x0744,0x072D,0x0745,0x0743,0x3001,0x0474,0x0479,0x0479,0x047D,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x3001,0x065A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
6,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x0403,0x3001,0x0472,0x301E,0x301F,0x0474,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x065A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x0472,0x0426,0x0427,0x0472,0x0650,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x3001,0x0650,0x0651,0x0651,0x0652,0x3001,0x3001,0x3001,0x0650,0x0652,0x3001,0x3001,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
8,0x3001,0x3001,0x3001,0x3001,0x3004,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D7,0x0474,0x30AF,0x30CF,0x0479,0x0479,0x047A,0x3001,0x3001,0x0472,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x065A,0x3001,0x3001,0x3001,0x0658,0x065A,0x3001,0x3001,0x0658,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x065A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
9,0x3001,0x3004,0x3001,0x3118,0x3119,0x3121,0x3121,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x300D,0x300D,0x300D,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0472,0x300D,0x300D,0x300D,0x0650,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x0650,0x0652,0x3001,0x3001,0x3001,0x0658,0x065A,0x3001,0x3001,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF
