map,Route121_SafariZoneEntrance_Layout,width,18,height,14,primary,gTileset_Building,secondary,gTileset_Shop
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0x0688,0x0688,0x0688,0x0688,0x0688,0x0688,0x0688,0x0688,0x0688,0x068D,0x0688,0x0688,0x065D,0x0688,0x0688,0x068B,0x0688,0x0688
1,0x0690,0x0690,0x0690,0x0690,0x0690,0x0690,0x069C,0x0690,0x0690,0x0695,0x0690,0x069C,0x0404,0x0690,0x0690,0x0693,0x0690,0x0690
2,0x3278,0x3270,0x3270,0x3270,0x3270,0x3270,0x06A8,0x32D4,0x3298,0x3299,0x3299,0x06A9,0x3265,0x3278,0x3270,0x3270,0x3270,0x3270
3,0x3280,0x3268,0x3268,0x3268,0x3268,0x3268,0x06B0,0x06A1,0x06A0,0x06A1,0x06A1,0x06B1,0x3280,0x3268,0x32C8,0x3268,0x3268,0x32BA
4,0x325C,0x3268,0x3268,0x3268,0x3268,0x3268,0x3271,0x3259,0x325A,0x3259,0x325A,0x3270,0x3279,0x3268,0x3268,0x3268,0x3268,0x32BA
5,0x3664,0x3268,0x0216,0x0217,0x3268,0x3268,0x3268,0x0661,0x0662,0x0661,0x0662,0x3268,0x3268,0x3268,0x3268,0x3268,0x3268,0x3268
6,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x3280,0x3268,0x3268,0x3268,0x32C3,0x32C3
7,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x325C,0x3268,0x3268,0x3268,0x06D0,0x06D1
8,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0664,0x3268,0x3268,0x3268,0x06D0,0x3278
9,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x3280,0x3268,0x3268,0x3268,0x06D0,0x3280
10,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x3280,0x3268,0x3268,0x3268,0x06D0,0x32D2
11,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x3280,0x3268,0x3268,0x3268,0x06D1,0x06D1
12,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x325C,0x3268,0x3268,0x3268,0x3271,0x32D3
13,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x3664,0x3268,0x0216,0x0217,0x3268,0x3674
