map,Route122_Layout,width,40,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x0575,0x0576,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x057D,0x057E,0x057D,0x057E,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
3,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170
4,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170
6,0x1170,0x1170,0x0550,0x0551,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170
7,0x1170,0x1170,0x0558,0x0559,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0591,0x0591,0x0591,0x0591,0x0591,0x0591,0x0591,0x0591,0x0591,0x0591,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170
8,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x04EE,0x046B,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046D,0x0471,0x04BF,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170
9,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0591,0x0591,0x0591,0x04BE,0x04BE,0x0473,0x046B,0x046C,0x046C,0x046C,0x046C,0x046D,0x0471,0x0475,0x0471,0x0471,0x04EF,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170
10,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x04EE,0x0471,0x046B,0x046C,0x046C,0x04BE,0x04BE,0x0473,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x04BF,0x046C,0x046D,0x04BF,0x04BF,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170
11,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x04BE,0x04BE,0x0471,0x0473,0x0471,0x046B,0x046C,0x046C,0x04BE,0x046B,0x046C,0x046C,0x046D,0x04BF,0x046C,0x046C,0x046D,0x04BF,0x046D,0x0471,0x04BF,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170
12,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x0572,0x04EE,0x046B,0x046C,0x046C,0x04BE,0x0471,0x0473,0x0471,0x046B,0x046C,0x04BE,0x0471,0x0471,0x04BF,0x046D,0x0471,0x0471,0x0475,0x0471,0x04BF,0x046C,0x046D,0x04BF,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170
13,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x0572,0x04BE,0x0473,0x0473,0x046B,0x046C,0x046C,0x046C,0x04BE,0x046B,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x04BF,0x046C,0x046D,0x04BF,0x046C,0x046D,0x0471,0x04BF,0x046D,0x04EF,0x0574,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170
14,0x0575,0x0576,0x1170,0x1170,0x1170,0x1231,0x0473,0x046B,0x04BE,0x0473,0x0473,0x0471,0x046B,0x046C,0x046C,0x04BE,0x04BE,0x046B,0x046C,0x046C,0x046C,0x046C,0x046D,0x0471,0x0475,0x046D,0x0471,0x0475,0x0471,0x0471,0x0475,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170
15,0x057D,0x057E,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x046B,0x04BE,0x0473,0x046B,0x0473,0x0471,0x046B,0x046C,0x046C,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0475,0x046D,0x0475,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576
16,0x0550,0x0551,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x046B,0x04BE,0x0473,0x0473,0x046B,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0475,0x0475,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E
17,0x0558,0x0559,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x0473,0x0471,0x0473,0x0473,0x0473,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0475,0x0475,0x0475,0x0474,0x047D,0x0471,0x0474,0x047D,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551
18,0x0550,0x0551,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x0473,0x0471,0x0473,0x0473,0x0473,0x047B,0x047C,0x0489,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0475,0x0475,0x0475,0x0475,0x0471,0x0471,0x0475,0x0471,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559
19,0x0558,0x0559,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x0473,0x0471,0x0473,0x0473,0x047B,0x04A9,0x0489,0x0473,0x0471,0x0471,0x0475,0x0471,0x0474,0x04A9,0x047D,0x0475,0x0475,0x0475,0x0474,0x047C,0x047D,0x0471,0x0475,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576
20,0x0575,0x0576,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x0473,0x0471,0x0473,0x047B,0x04A9,0x0489,0x0473,0x047B,0x047C,0x047C,0x047D,0x0471,0x0475,0x0471,0x0474,0x047D,0x0475,0x0475,0x0475,0x0471,0x0471,0x0474,0x047D,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E
21,0x057D,0x057E,0x1170,0x1170,0x1170,0x1231,0x0473,0x0473,0x0473,0x047B,0x0489,0x047B,0x0489,0x0471,0x0473,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x0474,0x047D,0x0474,0x047D,0x0475,0x0475,0x0471,0x0471,0x0475,0x0471,0x0475,0x1230,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551
