map,Route123_Layout,width,140,height,20,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x0416,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x0416,0x0416,0x04C6,0x04C7,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x0540,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x3001,0x3001,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x0416,0x0416,0x300D,0x300D,0x300D,0x300D,0x0416,0x04C7,0x04C6,0x300D,0x3001,0x300D,0x300D,0x04FE,0x34E0,0x314B,0x354C,0x354C,0x354C,0x314D,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x1190,0x1170,0x1193,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x0540,0x0541,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0539,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0472,0x04C7,0x04C7,0x04C7,0x04C6,0x0416,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C7,0x04C6,0x300D,0x300D,0x300D,0x300D,0x0485,0x3001,0x3113,0x3114,0x3114,0x3114,0x3115,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x301D,0x301D,0x04C7,0x04C7,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
3,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x0540,0x0542,0x3673,0x3675,0x3001,0x3673,0x3675,0x3001,0x3673,0x3675,0x0540,0x3001,0x3008,0x3009,0x3009,0x300A,0x3001,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x34E0,0x3001,0x0478,0x05A0,0x0479,0x05A0,0x0479,0x0479,0x0479,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0472,0x04C7,0x04C7,0x04C7,0x0416,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x04C6,0x300D,0x300D,0x300D,0x300D,0x0485,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x04C7,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
4,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x0540,0x0542,0x327B,0x327D,0x3001,0x327B,0x327D,0x3001,0x327B,0x327D,0x0540,0x3001,0x0410,0x0411,0x0411,0x0412,0x3001,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x10B0,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04FE,0x3001,0x3001,0x300D,0x300D,0x0478,0x0489,0x0471,0x0471,0x0471,0x0471,0x0472,0x04C7,0x04C7,0x04C7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x300D,0x300D,0x300D,0x300D,0x0485,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x0416,0x0540,0x0542,0x3673,0x3675,0x3001,0x3673,0x3675,0x3001,0x3673,0x3675,0x0540,0x3001,0x0418,0x0419,0x040B,0x041A,0x3001,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0416,0x0416,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x3001,0x300D,0x300D,0x300D,0x300D,0x0478,0x0479,0x0479,0x05A0,0x0677,0x067F,0x04C6,0x04C6,0x04C7,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x34D6,0x300F,0x300D,0x300D,0x3001,0x3001,0x3001,0x300D,0x300D,0x0485,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x3001,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x1193,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x0416,0x0416,0x3001,0x0540,0x0542,0x327B,0x327D,0x3001,0x327B,0x327D,0x3001,0x327B,0x327D,0x0540,0x3001,0x0420,0x0421,0x0413,0x0422,0x3001,0x0540,0x04C7,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x300D,0x300D,0x300D,0x300D,0x300D,0x34D5,0x046F,0x3001,0x3001,0x0416,0x04C6,0x04C6,0x04C6,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300F,0x04C6,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x1193,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1193,0x1193,0x1193
7,0x04C7,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x3001,0x3001,0x3001,0x0540,0x0533,0x0549,0x0549,0x3001,0x3001,0x3001,0x3001,0x0549,0x0549,0x0532,0x3403,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x0416,0x3001,0x04FE,0x34E0,0x3001,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0485,0x3001,0x3001,0x3001,0x04C7,0x04C7,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04C6,0x04C6,0x300F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0506,0x300F,0x300F,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C7,0x04C6,0x04C7,0x04C7,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1193,0x1193,0x04C7,0x04C7,0x04C7
8,0x04C7,0x0417,0x0417,0x0417,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x300E,0x300E,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0506,0x3025,0x3025,0x300D,0x300D,0x300D,0x300D,0x0485,0x3001,0x3001,0x3001,0x04C7,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C6,0x04C6,0x300F,0x34E0,0x3001,0x3001,0x3001,0x3001,0x300F,0x04C6,0x04C6,0x3025,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x04C7,0x04C7,0x04C7,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x1193,0x1193,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1193,0x1193,0x1193,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7
9,0x0417,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x04C7,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D0,0x31D2,0x3001,0x3001,0x3001,0x0540,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x3001,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3001,0x3001,0x3001,0x34E0,0x3001,0x300F,0x300F,0x04C6,0x04C6,0x3025,0x300D,0x300D,0x300D,0x0485,0x3001,0x300F,0x3001,0x0416,0x34D5,0x3487,0x3487,0x3487,0x3487,0x34D6,0x300F,0x300D,0x300D,0x300D,0x04C6,0x04C6,0x04C6,0x300F,0x3001,0x3001,0x3001,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x3025,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x04C7,0x04C7,0x04C7,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x1193,0x1193,0x1193,0x1193,0x1193,0x1170,0x1170,0x1170,0x1192,0x0445,0x3001,0x3001,0x0447,0x1190,0x1170,0x1170,0x1193,0x1193,0x1193,0x1193,0x1193,0x1193,0x1193,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7
