map,Route124_DivingTreasureHuntersHouse_Layout,width,10,height,9,primary,gTileset_Building,secondary,gTileset_GenericBuilding
y\x,0,1,2,3,4,5,6,7,8,9
0,0x0686,0x0687,0x0679,0x067A,0x0605,0x0607,0x0605,0x0658,0x0605,0x0605
1,0x068E,0x068F,0x0681,0x0682,0x060D,0x060F,0x060D,0x0667,0x060D,0x3290
2,0x3296,0x3297,0x3289,0x328A,0x3224,0x3224,0x3224,0x3224,0x3224,0x0698
3,0x3239,0x3235,0x3236,0x3236,0x3236,0x3236,0x3236,0x3237,0x3223,0x3223
4,0x3239,0x023D,0x32E1,0x3648,0x3649,0x02E2,0x023E,0x023F,0x3223,0x3223
5,0x3239,0x023D,0x32E1,0x3650,0x3651,0x02E2,0x023E,0x023F,0x3223,0x3223
6,0x3239,0x3245,0x3246,0x3246,0x3246,0x3246,0x3246,0x0247,0x3223,0x3223
7,0x3239,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3222
8,0x3239,0x3223,0x3223,0x0208,0x0209,0x3223,0x3223,0x3223,0x3223,0x362A
