map,Route127_Layout,width,80,height,80,primary,gTileset_General,secondary,gTileset_Mossdeep
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x1471,0x1471,0x3471,0x34BE,0x346C,0x346D,0x1471,0x1471,0x1471,0x1471,0x1471,0x3473,0x3471,0x347B,0x347C,0x347C,0x3489,0x3071,0x3475,0x1071,0x3475,0x1071,0x157C,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1215,0x1213,0x1213,0x11B5,0x319E,0x06F8,0x06F9,0x06F8,0x06F9,0x06F8,0x06F9,0x06F8,0x06F9,0x11A4,0x11BE,0x11BF,0x0613,0x0617,0x0617,0x0615,0x0613,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0617,0x0613,0x0617,0x0613,0x157A,0x1071,0x3473,0x3475,0x00BE,0x1574,0x0613
1,0x346C,0x346D,0x3471,0x3471,0x3471,0x34BE,0x346D,0x1471,0x1471,0x1493,0x1494,0x347B,0x347C,0x347C,0x347C,0x3489,0x347B,0x347C,0x347D,0x1474,0x347D,0x1474,0x1584,0x1215,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1215,0x1213,0x1213,0x11BD,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x0568,0x0569,0x11BE,0x11BF,0x0613,0x173B,0x173D,0x0617,0x0617,0x0615,0x0613,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0617,0x0613,0x0617,0x0613,0x157A,0x1071,0x3473,0x3475,0x1071,0x157C,0x0613
2,0x3471,0x3475,0x3471,0x3471,0x3471,0x3471,0x3475,0x1471,0x1471,0x149B,0x149C,0x1471,0x1471,0x1471,0x1471,0x347B,0x347C,0x3489,0x3071,0x3475,0x1474,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1213,0x1215,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x073B,0x073C,0x173D,0x157D,0x157E,0x0617,0x0617,0x0615,0x0613,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x1170,0x0572,0x0573,0x0573,0x0573,0x0573,0x0573,0x0573,0x1574,0x1170,0x1170,0x1213,0x1170,0x173B,0x173D,0x157A,0x1071,0x3473,0x00BE,0x346D,0x157C,0x0613
3,0x3471,0x3475,0x3471,0x3471,0x3471,0x3471,0x3475,0x1471,0x1471,0x1471,0x1474,0x1479,0x1479,0x1479,0x1479,0x1479,0x3489,0x3473,0x3071,0x3475,0x157C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x157A,0x1071,0x157C,0x1170,0x0613,0x0617,0x0617,0x0615,0x0613,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x0572,0x30BE,0x3071,0x046B,0x306C,0x306C,0x306C,0x046D,0x10BE,0x0573,0x1574,0x0550,0x0551,0x157D,0x157E,0x157A,0x1071,0x047B,0x3489,0x3475,0x157C,0x0613
4,0x3471,0x3475,0x3471,0x3493,0x3494,0x3471,0x3475,0x1471,0x1471,0x1471,0x1567,0x319E,0x319E,0x319E,0x319E,0x319E,0x1566,0x347B,0x347C,0x347D,0x157C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x157A,0x1071,0x157C,0x1170,0x0613,0x173B,0x173D,0x061D,0x0607,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x057A,0x3071,0x3071,0x0473,0x3071,0x3071,0x3071,0x0475,0x3071,0x3071,0x157C,0x0558,0x0559,0x1170,0x1170,0x1582,0x0489,0x1071,0x3473,0x3475,0x157C,0x0613
5,0x3471,0x3475,0x3471,0x349B,0x349C,0x1474,0x347D,0x1471,0x1474,0x1479,0x156F,0x319E,0x319E,0x319E,0x319E,0x319E,0x156E,0x1479,0x3489,0x3071,0x157C,0x173B,0x173D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x073B,0x173E,0x1071,0x157C,0x1170,0x0613,0x157D,0x157E,0x0613,0x0615,0x0615,0x0613,0x0615,0x0613,0x0615,0x0615,0x057A,0x3071,0x3071,0x047B,0x0489,0x0471,0x0471,0x0475,0x3071,0x3071,0x157C,0x1170,0x1170,0x1170,0x1170,0x1170,0x157A,0x1071,0x3473,0x3475,0x157C,0x0613
6,0x3471,0x3475,0x3471,0x3471,0x3471,0x3475,0x1471,0x1471,0x157C,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x11B7,0x157A,0x3071,0x157C,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x073B,0x173E,0x1071,0x1071,0x157C,0x1170,0x0613,0x0617,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x0550,0x0551,0x0613,0x1582,0x0479,0x0489,0x3071,0x047B,0x047C,0x047C,0x047D,0x3071,0x0474,0x1584,0x1206,0x1219,0x114E,0x114E,0x1218,0x157A,0x1071,0x3473,0x3475,0x00BE,0x1574
7,0x3471,0x3475,0x3471,0x3471,0x3471,0x3475,0x1471,0x1471,0x1567,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x11B7,0x157A,0x3071,0x157C,0x1213,0x1213,0x1213,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1213,0x1213,0x157A,0x146B,0x106C,0x146D,0x157C,0x0613,0x0613,0x0617,0x0550,0x0551,0x1213,0x1213,0x173B,0x173D,0x0558,0x0559,0x173B,0x173D,0x1170,0x1582,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x1584,0x1170,0x1211,0x114E,0x123B,0x123B,0x114E,0x1582,0x3489,0x3473,0x3475,0x1071,0x157C
8,0x1474,0x347D,0x3471,0x3471,0x1474,0x347D,0x1474,0x1479,0x156F,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x11B7,0x1582,0x1479,0x1584,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x173B,0x173D,0x1170,0x073B,0x173E,0x1473,0x1071,0x1475,0x157C,0x173B,0x173D,0x0613,0x0558,0x0559,0x1213,0x1213,0x157D,0x157E,0x1170,0x1170,0x157D,0x157E,0x1213,0x1213,0x1213,0x1213,0x1213,0x1217,0x1213,0x1217,0x1217,0x1213,0x1211,0x114E,0x1243,0x1243,0x114E,0x1210,0x157A,0x3473,0x00BE,0x346D,0x157C
9,0x347D,0x3471,0x3471,0x1474,0x347D,0x3471,0x157C,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x11A4,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1213,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x073B,0x173E,0x146B,0x10BE,0x1071,0x1475,0x157C,0x157D,0x157E,0x0550,0x0551,0x1213,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1213,0x1213,0x1213,0x1213,0x1213,0x1217,0x1206,0x121F,0x1217,0x1213,0x1211,0x114E,0x1250,0x1251,0x114E,0x1210,0x157A,0x047B,0x3489,0x3475,0x157C
