map,Route132_Layout,width,80,height,40,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x0550,0x0551,0x1572,0x157B,0x157B,0x1574,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1572,0x157B,0x157B,0x1574,0x1170,0x1170,0x1192,0x0473,0x0473,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
1,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x0575,0x0576,0x0558,0x0559,0x157A,0x1071,0x1071,0x157C,0x157D,0x157E,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x0550,0x0551,0x1170,0x1170,0x0550,0x0551,0x057D,0x057E,0x0575,0x0576,0x0558,0x0559,0x1572,0x157B,0x1574,0x0550,0x0551,0x1170,0x1170,0x0558,0x0559,0x157A,0x1071,0x1071,0x157C,0x1170,0x1170,0x1192,0x0473,0x047B,0x0489,0x0471,0x047B,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471
2,0x057D,0x057E,0x1170,0x1170,0x1572,0x157B,0x1574,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1575,0x1576,0x1582,0x1479,0x1479,0x1584,0x1170,0x1170,0x0558,0x0559,0x0550,0x0551,0x0575,0x0576,0x0550,0x0551,0x057D,0x057E,0x0550,0x0551,0x0558,0x0559,0x0575,0x0576,0x1263,0x1263,0x1170,0x1170,0x0558,0x0559,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x157A,0x1071,0x157C,0x0558,0x0559,0x0550,0x0551,0x1170,0x1170,0x1582,0x1479,0x1479,0x1584,0x1170,0x1170,0x1192,0x047B,0x0489,0x047B,0x047C,0x0489,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471
3,0x1170,0x1170,0x1170,0x1170,0x157A,0x1071,0x157C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x0558,0x0559,0x057D,0x057E,0x0558,0x0559,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x057D,0x057E,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x057D,0x057E,0x1170,0x1550,0x1551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1582,0x1479,0x1584,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x119A,0x1181,0x047B,0x0489,0x0471,0x047B,0x047C,0x0489,0x047B,0x047C,0x047C,0x047C
4,0x1263,0x1263,0x1170,0x1170,0x1582,0x1479,0x1584,0x1170,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x0558,0x0559,0x1170,0x119A,0x1181,0x047B,0x047C,0x04A9,0x0489,0x047B,0x04A9,0x04A9,0x04A9,0x04A9
5,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1550,0x1551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x0575,0x0576,0x1170,0x119A,0x055A,0x055B,0x1181,0x047B,0x04A9,0x04A9,0x0489,0x0471,0x0471
6,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1550,0x1551,0x1283,0x1283,0x1283,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x057D,0x057E,0x0550,0x0551,0x0558,0x0559,0x119A,0x1189,0x1189,0x1181,0x047B,0x047C,0x047C
7,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1575,0x1576,0x157D,0x157E,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1263,0x1550,0x1551,0x1283,0x1283,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1550,0x1551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1550,0x1551,0x1283,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1575,0x1576,0x1170,0x119A,0x1189,0x1189,0x1181
8,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x157D,0x157E,0x157D,0x157E,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1550,0x1551,0x1283,0x1283,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1558,0x1559,0x1550,0x1551,0x1283,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x119A
9,0x1263,0x1263,0x1263,0x1263,0x1263,0x1575,0x1576,0x1575,0x1576,0x157D,0x157E,0x1256,0x3246,0x3246,0x1257,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1558,0x1559,0x1263,0x1550,0x1551,0x1283,0x1283,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1550,0x1551,0x1170,0x1170,0x1550,0x1551,0x1550,0x1551,0x1550,0x1551,0x1558,0x1559,0x126C,0x126C,0x126C,0x1263,0x1263,0x1263,0x1263,0x1263,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1572,0x157B,0x1574,0x1170,0x1170,0x1575,0x1576,0x1170,0x1170
