map,RustboroCity_Gym_Layout,width,11,height,19,primary,gTileset_Building,secondary,gTileset_RustboroGym
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x060E,0x0603,0x0604,0x0604,0x0603,0x0603,0x0603,0x0604,0x0604,0x0603,0x060F
1,0x0602,0x060B,0x060C,0x060C,0x060B,0x060B,0x060B,0x060C,0x060C,0x060B,0x0605
2,0x060A,0x3225,0x3612,0x3214,0x3213,0x3213,0x3213,0x3214,0x3615,0x3210,0x060D
3,0x3209,0x3237,0x361A,0x0624,0x321B,0x321C,0x321C,0x0624,0x361D,0x3208,0x3216
4,0x3209,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3217
5,0x3222,0x3226,0x3226,0x3221,0x3208,0x3208,0x3208,0x3220,0x3221,0x3208,0x322D
6,0x0629,0x0628,0x061F,0x062E,0x3208,0x3208,0x3208,0x0629,0x062A,0x322F,0x0631
7,0x0629,0x062A,0x3225,0x3210,0x3208,0x3208,0x3208,0x0629,0x062A,0x322F,0x0631
8,0x0629,0x0630,0x3236,0x3221,0x3208,0x3208,0x3208,0x0629,0x062A,0x322F,0x0631
9,0x0635,0x061F,0x061F,0x062E,0x3208,0x3208,0x3208,0x061E,0x062E,0x322F,0x0631
10,0x0631,0x3225,0x3222,0x3223,0x3208,0x3208,0x3208,0x3222,0x3227,0x3236,0x0634
11,0x0631,0x322F,0x0629,0x062A,0x322F,0x3208,0x3208,0x061E,0x061F,0x062B,0x062A
12,0x0631,0x322F,0x0629,0x062A,0x322F,0x3208,0x3208,0x3210,0x3210,0x0629,0x062A
13,0x0631,0x322F,0x0629,0x062A,0x322F,0x3208,0x3208,0x3220,0x3226,0x0633,0x062A
14,0x062C,0x322F,0x061E,0x062E,0x322F,0x3208,0x3208,0x061E,0x061F,0x061F,0x062E
15,0x3209,0x3237,0x3210,0x3210,0x3237,0x3208,0x3208,0x3210,0x3210,0x3210,0x3216
16,0x3209,0x3208,0x3211,0x3208,0x3208,0x3208,0x3208,0x3208,0x3211,0x3208,0x3217
17,0x3209,0x3208,0x0619,0x3208,0x3208,0x3208,0x3208,0x3208,0x0619,0x3208,0x3217
18,0x3209,0x3208,0x3210,0x3208,0x3208,0x0218,0x0218,0x3208,0x3210,0x3208,0x3217
