map,RustboroCity_Layout,width,40,height,60,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x3550,0x3551,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x057A,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x35D4,0x05D5
1,0x3558,0x3559,0x3170,0x3170,0x3170,0x0550,0x0551,0x3170,0x3170,0x3170,0x057A,0x05DC,0x35DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x35DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x35D5,0x05D4,0x35D5,0x35D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD
2,0x3170,0x3170,0x3170,0x3170,0x3170,0x0558,0x0559,0x3170,0x3170,0x3170,0x057A,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x35DD,0x05DC,0x05DD,0x05DC,0x05DD,0x35D4,0x05D5
3,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x057A,0x35DC,0x35DD,0x05D4,0x35D5,0x05D4,0x05D5,0x05DC,0x35DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x35D4,0x05D5,0x35D4,0x05D5,0x05DC,0x05DD
4,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x057A,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05DC,0x05DD,0x35DC,0x05DD,0x05DC,0x35DD,0x05DC,0x05DD,0x05DC,0x35DD,0x05DC,0x05DD,0x05D4,0x05D5
5,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x0575,0x30D3,0x3002,0x3002,0x3002,0x05E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD
6,0x3170,0x3170,0x3550,0x0551,0x3170,0x0575,0x30D3,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E4,0x05E5,0x05E4,0x05E5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05D4,0x05D5
7,0x3170,0x3170,0x3558,0x0559,0x3170,0x057A,0x3001,0x0688,0x0689,0x0689,0x068B,0x068C,0x068C,0x068D,0x0689,0x0689,0x068A,0x05E4,0x05E7,0x32E0,0x32E1,0x32E1,0x32E1,0x32E1,0x06BE,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x06A7,0x0752,0x3001,0x05E6,0x05E5
8,0x3170,0x3170,0x3170,0x3170,0x3170,0x057A,0x071B,0x0690,0x0691,0x0691,0x0693,0x0694,0x0694,0x0695,0x0691,0x0691,0x0692,0x0752,0x32E0,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x0403,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32EA,0x3001,0x3001,0x3001
9,0x3170,0x3170,0x3170,0x3170,0x3170,0x057A,0x0718,0x0698,0x0699,0x069A,0x068E,0x068F,0x0696,0x0697,0x069A,0x069A,0x069B,0x06C7,0x32BB,0x32BB,0x32F8,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32FA,0x3001,0x3001,0x3001
