map,RustboroCity_PokemonSchool_Layout,width,12,height,11,primary,gTileset_Building,secondary,gTileset_PokemonSchool
y\x,0,1,2,3,4,5,6,7,8,9,10,11
0,0x0608,0x0609,0x0609,0x0608,0x0609,0x0609,0x0609,0x0609,0x0608,0x0609,0x0609,0x0608
1,0x0610,0x0611,0x0612,0x060B,0x0628,0x0629,0x062A,0x062B,0x0610,0x0611,0x0612,0x0610
2,0x3218,0x3219,0x321A,0x3218,0x0630,0x0631,0x0632,0x0633,0x3218,0x3219,0x321A,0x3218
3,0x3220,0x3221,0x3221,0x3221,0x3238,0x321C,0x321D,0x3239,0x3221,0x3221,0x3221,0x3221
4,0x3202,0x3201,0x3201,0x3201,0x3201,0x0624,0x0625,0x3201,0x3201,0x3201,0x3201,0x3201
5,0x3202,0x060C,0x3201,0x060D,0x3201,0x3201,0x3201,0x3201,0x060C,0x3201,0x060C,0x3201
6,0x3202,0x3214,0x3201,0x3215,0x3201,0x3201,0x3201,0x3201,0x3214,0x3201,0x3214,0x3201
7,0x3202,0x060C,0x3201,0x060C,0x3201,0x3201,0x3201,0x3201,0x060E,0x3201,0x060C,0x3201
8,0x3202,0x3214,0x3201,0x3214,0x3201,0x3201,0x3201,0x3201,0x3216,0x3201,0x3214,0x3201
9,0x3202,0x060C,0x3201,0x060C,0x3201,0x3201,0x3201,0x3201,0x060C,0x3201,0x060C,0x3201
10,0x3202,0x3214,0x3201,0x3214,0x3201,0x0006,0x0007,0x3201,0x3214,0x3201,0x3214,0x3201
