map,RusturfTunnel_Layout,width,36,height,24,primary,gTileset_General,secondary,gTileset_RusturfTunnel
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0x0606,0x0605,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0605,0x0611,0x0633,0x0621,0x0634,0x0611,0x0605,0x0633,0x0621,0x0621,0x0621,0x0634,0x0606,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611
1,0x0611,0x0611,0x0612,0x3201,0x3202,0x3202,0x3202,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0640,0x063C,0x0641,0x0605,0x0611,0x0640,0x063C,0x063C,0x063C,0x0641,0x0611,0x0611,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x061C,0x0605,0x0610,0x0611,0x0611
2,0x061B,0x0619,0x061A,0x3202,0x3202,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x0606,0x0605,0x3202,0x0610,0x0605,0x0610,0x0611,0x0611
3,0x0612,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x321F,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x3202,0x3202,0x3202,0x0610,0x0611,0x0618,0x0619,0x061C
4,0x0612,0x0611,0x0612,0x0603,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3202,0x0606,0x0610,0x0611,0x0611,0x0611,0x0610
5,0x0612,0x061B,0x061A,0x0604,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0611,0x0610
6,0x0612,0x0612,0x061B,0x0619,0x321F,0x0619,0x0619,0x0619,0x061C,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x061C,0x0610
7,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0605,0x0633,0x0621,0x0621,0x0634,0x0611,0x0611,0x0606,0x0611,0x0611,0x0605,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0604,0x0610,0x0610
8,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0633,0x0634,0x0611,0x0611,0x0640,0x063C,0x063C,0x0641,0x0606,0x0611,0x0633,0x0634,0x0611,0x0611,0x0611,0x0605,0x0612,0x3202,0x3201,0x3201,0x3201,0x3201,0x3202,0x0610,0x0610
9,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0640,0x0641,0x0606,0x0611,0x0611,0x0605,0x0611,0x0611,0x0611,0x0611,0x0640,0x0641,0x0611,0x0611,0x0606,0x0611,0x0612,0x3202,0x3201,0x3201,0x3202,0x3202,0x3202,0x0610,0x0610
