map,SSTidalCorridor_Layout,width,18,height,13,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0x0601,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9,0x06B8,0x06B9
1,0x0601,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1,0x06C0,0x06C1
2,0x0601,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32BB,0x32B4,0x360B
3,0x0601,0x32BC,0x32BA,0x32C2,0x32C4,0x32C5,0x32C3,0x32C4,0x32C5,0x32C3,0x32C4,0x32C5,0x32C3,0x32C4,0x32C6,0x32BA,0x32BA,0x32C7
4,0x0601,0x32BC,0x32BA,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x32BC,0x32BA,0x32BA
5,0x0601,0x32BC,0x32BA,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x32BC,0x32BA,0x32BA
6,0x0601,0x32BC,0x32BA,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x32BC,0x32BA,0x32BA
7,0x0601,0x32BC,0x32BA,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x32BC,0x32BA,0x32BA
8,0x0601,0x32BC,0x32BA,0x0625,0x0623,0x0624,0x0622,0x0623,0x0624,0x0622,0x0623,0x0624,0x0622,0x0623,0x0626,0x32BC,0x32BA,0x32BA
9,0x0601,0x32BC,0x32BA,0x062D,0x362B,0x067B,0x062A,0x362B,0x067B,0x062A,0x362B,0x067B,0x062A,0x362B,0x06FB,0x32BC,0x32BA,0x32BA
10,0x0601,0x32BC,0x32BA,0x32BD,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BE,0x32BF,0x32BA,0x32BA
11,0x060C,0x32B5,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA
12,0x0614,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
