map,SSTidalLowerDeck_Layout,width,17,height,13,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0x06A9,0x06A9,0x0608,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x06A9,0x0608
1,0x06B1,0x06B1,0x06E8,0x06EA,0x06B1,0x06B1,0x06E0,0x06EA,0x06B1,0x06B1,0x06EB,0x06EC,0x06ED,0x06B1,0x06B1,0x06B1,0x060E
2,0x067F,0x321D,0x06E8,0x06EA,0x321D,0x321D,0x06E8,0x06EA,0x321D,0x067F,0x06EB,0x06EC,0x06ED,0x321D,0x321D,0x3215,0x0616
3,0x321D,0x320D,0x06F0,0x06F2,0x32EE,0x320D,0x06F0,0x06F2,0x32EE,0x320D,0x06F3,0x06F4,0x06F5,0x32EE,0x320D,0x320D,0x320D
4,0x321D,0x320D,0x32E7,0x32E7,0x32F6,0x320D,0x32E7,0x32E7,0x32F6,0x320D,0x32E7,0x32E7,0x32E7,0x32F6,0x320D,0x320D,0x320D
5,0x321D,0x32E0,0x32E1,0x32E2,0x32E0,0x32E1,0x32E2,0x320D,0x32E3,0x32E5,0x320D,0x32E3,0x32E4,0x32E5,0x320D,0x320D,0x320D
6,0x321D,0x06EB,0x06EC,0x06ED,0x06E8,0x06E9,0x06EA,0x32EE,0x06E8,0x06EA,0x32EE,0x06EB,0x06EC,0x06ED,0x32EE,0x320D,0x320D
7,0x321D,0x06F3,0x06F4,0x06F5,0x06F0,0x06F1,0x06F2,0x32EE,0x06F0,0x06F2,0x32EE,0x06F3,0x06F4,0x06F5,0x32EE,0x320D,0x320D
8,0x321D,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32F6,0x32E7,0x32E7,0x32F6,0x32E7,0x32E7,0x32E7,0x32F6,0x320D,0x320D
9,0x321D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x32E0,0x32E2
10,0x321D,0x32E0,0x32E1,0x32E2,0x32E0,0x32E1,0x32E2,0x320D,0x32E0,0x32E2,0x320D,0x32E3,0x32E5,0x320D,0x320D,0x06E8,0x06EA
11,0x321D,0x06E8,0x06E9,0x06EA,0x06E8,0x06E9,0x06EA,0x32EE,0x06F0,0x06F2,0x32EE,0x06F3,0x06F5,0x32EE,0x320D,0x36E3,0x36E5
12,0x067F,0x06F0,0x06F1,0x06F2,0x06F0,0x06F1,0x06F2,0x32EE,0x32E7,0x32E7,0x32F6,0x32E7,0x32E7,0x32F6,0x320D,0x06F3,0x06F5
