map,SSTidalRooms_Layout,width,36,height,18,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0x0636,0x0640,0x066B,0x0695,0x0663,0x0696,0x066D,0x0645,0x0601,0x0601,0x0640,0x066B,0x0695,0x0663,0x0696,0x066D,0x0645,0x0601,0x0601,0x0640,0x066B,0x0695,0x0663,0x0696,0x0627,0x0627,0x0601,0x0601,0x0640,0x066B,0x0695,0x0663,0x0696,0x066D,0x0645,0x0637
1,0x063E,0x0648,0x0673,0x069D,0x0697,0x069E,0x0675,0x064D,0x0601,0x0601,0x0648,0x0673,0x069D,0x0697,0x069E,0x0675,0x064D,0x0601,0x0601,0x0648,0x0673,0x069D,0x0697,0x069E,0x062F,0x062F,0x0601,0x0601,0x062F,0x062F,0x069D,0x0697,0x069E,0x0675,0x064D,0x063F
2,0x063E,0x0650,0x0651,0x323A,0x323B,0x323B,0x0654,0x0655,0x0601,0x0601,0x0650,0x0651,0x323A,0x323B,0x323B,0x0654,0x0655,0x0601,0x0601,0x0650,0x0651,0x323A,0x323B,0x323B,0x323B,0x323B,0x0601,0x0601,0x0699,0x069A,0x323B,0x323B,0x323B,0x0654,0x0655,0x063F
3,0x063E,0x0658,0x0659,0x323D,0x3238,0x3238,0x065C,0x065D,0x0601,0x0601,0x0658,0x0659,0x323D,0x3238,0x3238,0x065C,0x065D,0x0601,0x0601,0x0658,0x0659,0x323D,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x06A1,0x06A2,0x3238,0x3238,0x3238,0x065C,0x065D,0x063F
4,0x063E,0x023A,0x323B,0x323C,0x3238,0x3238,0x323B,0x323B,0x0601,0x0601,0x023A,0x323B,0x323C,0x3238,0x3238,0x323B,0x323B,0x0601,0x0601,0x323A,0x323B,0x323C,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x3677,0x3238,0x3238,0x3238,0x3238,0x323B,0x323B,0x063F
5,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x3677,0x3238,0x3238,0x0656,0x0657,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3260,0x0656,0x0657,0x3261,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3261,0x063F
6,0x063E,0x323D,0x3238,0x3238,0x3238,0x0656,0x0657,0x3238,0x0601,0x0601,0x323D,0x3238,0x3260,0x065E,0x065F,0x3261,0x3238,0x0601,0x0601,0x323D,0x3238,0x3260,0x065E,0x065F,0x3261,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x0656,0x0657,0x063F
7,0x063E,0x323D,0x3238,0x3238,0x3260,0x065E,0x065F,0x0662,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x0662,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3260,0x065E,0x065F,0x063F
8,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
9,0x0636,0x0640,0x066B,0x066C,0x0676,0x066C,0x066D,0x0645,0x0601,0x0601,0x066C,0x0676,0x066C,0x066C,0x0643,0x0644,0x0645,0x0601,0x0601,0x0640,0x066C,0x0676,0x066C,0x0676,0x066D,0x0645,0x0601,0x0601,0x0640,0x066B,0x0676,0x0627,0x0676,0x066D,0x0645,0x0637
10,0x063E,0x0648,0x0673,0x0674,0x067E,0x0674,0x0675,0x064D,0x0601,0x0601,0x0674,0x067E,0x0674,0x0674,0x064B,0x0669,0x066A,0x0601,0x0601,0x062F,0x0674,0x067E,0x0674,0x067E,0x0675,0x064D,0x0601,0x0601,0x0648,0x0673,0x067E,0x062F,0x067E,0x062F,0x062F,0x063F
11,0x063E,0x0650,0x0651,0x323A,0x323B,0x323B,0x0654,0x0655,0x0601,0x0601,0x323A,0x323B,0x323B,0x323B,0x323B,0x0671,0x0672,0x0601,0x0601,0x3699,0x369A,0x323B,0x323B,0x323B,0x0654,0x0655,0x0601,0x0601,0x0650,0x0651,0x323A,0x323B,0x323B,0x323B,0x327C,0x063F
12,0x063E,0x0658,0x0659,0x323D,0x3238,0x3238,0x065C,0x065D,0x0601,0x0601,0x323D,0x0656,0x0657,0x3238,0x3238,0x0679,0x067A,0x0601,0x0601,0x06A1,0x06A2,0x3238,0x3238,0x3238,0x065C,0x065D,0x0601,0x0601,0x0658,0x0659,0x323D,0x0656,0x0670,0x0670,0x0657,0x063F
13,0x063E,0x023A,0x323B,0x323C,0x3238,0x3238,0x323B,0x327C,0x0601,0x0601,0x323D,0x065E,0x065F,0x3261,0x3238,0x323B,0x3635,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x323B,0x323B,0x0601,0x0601,0x0668,0x323B,0x323C,0x065E,0x0678,0x0678,0x065F,0x063F
14,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3260,0x3238,0x3238,0x3238,0x063F
15,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
16,0x063E,0x323D,0x3238,0x3238,0x0264,0x0265,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x0264,0x0265,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x0264,0x0265,0x3238,0x3238,0x0601,0x0601,0x323D,0x3238,0x3238,0x0264,0x0265,0x3238,0x3238,0x063F
17,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
