map,SafariZone_Northeast_Layout,width,40,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x3071,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x3071,0x3071,0x3071,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071
1,0x047C,0x047D,0x3071,0x3071,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047D,0x3071,0x3071,0x3071,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071
2,0x04A9,0x04A9,0x047C,0x047C,0x047D,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047D,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x047C,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0473,0x3071,0x3071,0x3071,0x3071,0x3071
3,0x3071,0x3071,0x0474,0x04A9,0x04A9,0x047D,0x3071,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x0489,0x3071,0x3071,0x3071,0x3071
4,0x047C,0x047C,0x047D,0x3071,0x3071,0x0474,0x047C,0x047D,0x3071,0x0474,0x0491,0x0491,0x04A9,0x0489,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x0489,0x3071,0x0473,0x3071,0x3071,0x3071,0x3071
5,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047D,0x0474,0x0491,0x0479,0x047A,0x300D,0x300D,0x300D,0x0478,0x0479,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0489,0x3071,0x047B,0x047C,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x0473,0x3071,0x0473,0x3071,0x3071,0x3071,0x3071
6,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0472,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3120,0x34E2,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0490,0x0479,0x0491,0x0491,0x0489,0x3071,0x0473,0x3071,0x3071,0x0473,0x3071,0x047B,0x0489,0x3071,0x3071,0x3071
7,0x05F0,0x05F1,0x05F0,0x05F1,0x05F0,0x05F1,0x047A,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3120,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0490,0x0489,0x0473,0x3071,0x3071,0x0473,0x3071,0x3071,0x0473,0x3071,0x3071,0x3071
8,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3128,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0488,0x0473,0x3071,0x3071,0x0473,0x3071,0x3071,0x047B,0x047C,0x0489,0x3071
9,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3120,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0488,0x0473,0x3071,0x3071,0x047B,0x0489,0x3071,0x3071,0x3071,0x0473,0x3071
