map,SafariZone_Northwest_Layout,width,40,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x047B,0x047C,0x0489,0x3071,0x047B,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071
1,0x05DC,0x05DD,0x05DC,0x05DD,0x06B5,0x05EF,0x0489,0x0473,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x047B,0x047C,0x047C
2,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x04A9,0x04A9,0x04A9
3,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x06B5,0x05EF,0x05EE,0x05EF,0x05EE,0x05EF,0x05EE,0x05EF,0x05EE,0x05EF,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x0489,0x3071,0x3071
4,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x5001,0x0474,0x05EE,0x05EF,0x05EE,0x05EF,0x05EE,0x05EF,0x0489,0x3071,0x3071,0x3071,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x047B,0x047C,0x047C
5,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05F2,0x51CF,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0478,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x3071,0x047B,0x047C,0x04A9,0x04A9,0x04A9
6,0x05D4,0x05D5,0x500D,0x500D,0x500D,0x500D,0x500D,0x500D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x5001,0x05D4,0x05D7,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x10B0,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B1,0x10B2,0x34E0,0x0478,0x0479,0x0489,0x3071,0x3071,0x3071,0x3071
7,0x05DC,0x05DD,0x500D,0x500D,0x0710,0x500D,0x500D,0x500D,0x05E6,0x05E5,0x05E4,0x05F2,0x05F3,0x05F2,0x51CF,0x05DC,0x05DD,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x0478,0x05F0,0x05F1,0x05F0,0x05F1
8,0x05D4,0x05D5,0x500D,0x500D,0x5318,0x500D,0x500D,0x500D,0x5001,0x5001,0x5001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5
9,0x05DC,0x05DD,0x500D,0x500D,0x500D,0x500D,0x500D,0x5001,0x5001,0x5001,0x5001,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10C2,0x10B1,0x10B1,0x10B1,0x10B2,0x05DC,0x05DD,0x05DC,0x05DD
