map,SafariZone_RestHouse_Layout,width,10,height,9,primary,gTileset_Building,secondary,gTileset_GenericBuilding
y\x,0,1,2,3,4,5,6,7,8,9
0,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401
1,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401,0x0401
2,0x0605,0x0605,0x0605,0x0607,0x0605,0x0605,0x0607,0x0605,0x0605,0x0605
3,0x060D,0x060D,0x060D,0x060F,0x060D,0x060D,0x060F,0x060D,0x060D,0x060D
4,0x3224,0x3224,0x3224,0x3224,0x3224,0x3224,0x3224,0x3224,0x3224,0x3224
5,0x3239,0x3223,0x3234,0x36E8,0x36EA,0x323C,0x3223,0x3223,0x3223,0x3223
6,0x3239,0x3223,0x3234,0x36F0,0x36F2,0x323C,0x3223,0x3223,0x3223,0x3223
7,0x3239,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223
8,0x3239,0x3223,0x3223,0x0208,0x0209,0x3223,0x3223,0x3223,0x3223,0x3223
