map,SafariZone_Southeast_Layout,width,40,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x5001,0x5001,0x5001,0x5001,0x05D4,0x05D5,0x05D4,0x05D5,0x0472
1,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0470,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x5001,0x5001,0x5001,0x5001,0x05DC,0x05DD,0x05DC,0x05DD,0x0472
2,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0474,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0489,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x54E0,0x05D4,0x05D5,0x05D4,0x05D5,0x0472
3,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E7,0x0470,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E7,0x0472,0x3001,0x3001,0x3001,0x3001,0x5313,0x5313,0x5313,0x5314,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x05E6,0x05E5,0x05DC,0x05DD,0x0472
4,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x0470,0x05D4,0x05D5,0x05D4,0x05D5,0x5001,0x5001,0x5001,0x5001,0x0472,0x3001,0x3001,0x3001,0x3001,0x531E,0x0721,0x0715,0x0722,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x54E0,0x05D4,0x05D5,0x0472
5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x31D0,0x31D2,0x0470,0x05E6,0x05E5,0x05E4,0x05E7,0x5001,0x5001,0x5001,0x5001,0x0472,0x3001,0x3001,0x531D,0x531D,0x5316,0x3001,0x3001,0x0470,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x05E6,0x05E5,0x0472
6,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D0,0x31D9,0x31E2,0x0470,0x54E0,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x0472,0x3001,0x3001,0x531E,0x0721,0x0715,0x3001,0x3001,0x0470,0x5001,0x046E,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x046F,0x5001,0x5001,0x5001,0x5001,0x0472
7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x31E0,0x31E2,0x3001,0x0470,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5312,0x5313,0x5313,0x5316,0x3001,0x3001,0x3001,0x3001,0x0470,0x5001,0x0486,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x5001,0x0474,0x05EE,0x05EF,0x047A
8,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x0470,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x04E0,0x0720,0x0715,0x0721,0x0715,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x06B3,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x06B4,0x0479,0x047A,0x05D6,0x05D7,0x3001
9,0x05DC,0x05DD,0x31CE,0x31CF,0x31C6,0x31C7,0x300D,0x300D,0x0478,0x0479,0x0479,0x0479,0x0479,0x00AF,0x00CF,0x0479,0x0479,0x047A,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05F2,0x31CF
10,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x31D0,0x31D2,0x3001,0x3001,0x3001,0x34E0,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5
11,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x31E0,0x31E2,0x3001,0x3001,0x31D0,0x31D1,0x31D2,0x3001,0x3001,0x31CE,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x31CF,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05DC,0x05DD
12,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x31D0,0x31D9,0x31D9,0x31D9,0x31D2,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x34E0,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5
13,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x31C6,0x31C7,0x05DC,0x05DD
14,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x31C6,0x31C7,0x31CE,0x31CF,0x3001,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31D2,0x3001,0x3001,0x31D0,0x31D1,0x31D2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x34E0,0x05D6,0x05D5,0x05D4,0x05D5
15,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x3001,0x05D6,0x05D5,0x05D4,0x05D7,0x3001,0x31E0,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31D2,0x3001,0x31E0,0x31D9,0x31DA,0x3001,0x31D0,0x31D2,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD
16,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x3001,0x31E0,0x31E2,0x3001,0x31E0,0x31E2,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
17,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x34E0,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x31CE,0x31CF,0x31E0,0x31D9,0x31D9,0x31D9,0x31D9,0x31E2,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
