map,SafariZone_Southwest_Layout,width,40,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x7001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x7001,0x7001,0x7001,0x7001,0x0475,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x7001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x7001,0x7001,0x7001,0x7001,0x0475,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
2,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x7687,0x70E8,0x7682,0x047C,0x047D,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x0487,0x0487,0x0487,0x04D6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
3,0x0474,0x05EE,0x05EF,0x05EE,0x05EF,0x05EE,0x05EF,0x768F,0x70E8,0x768D,0x05EE,0x05EF,0x047A,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
4,0x047A,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x7001,0x7001,0x7001,0x05D6,0x05D7,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x31D0,0x31D2,0x3001,0x3001,0x3001,0x34E0,0x0408,0x0409,0x0409,0x040A,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
5,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x7001,0x7001,0x7001,0x05DC,0x05DD,0x31CE,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05E7,0x3001,0x3001,0x31D0,0x31D9,0x31D9,0x31D2,0x3001,0x3001,0x3001,0x0410,0x0411,0x0411,0x0412,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5
6,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0001,0x0001,0x0001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31D9,0x31D9,0x31D1,0x31D2,0x3001,0x0418,0x0419,0x040B,0x041A,0x31D0,0x31D2,0x34E0,0x3001,0x3001,0x3001,0x3001,0x3001
7,0x31CE,0x05F3,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x05E6,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x31CF,0x34E0,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31D9,0x31D9,0x31D2,0x3420,0x3421,0x3413,0x3422,0x3403,0x31D9,0x31D2,0x3001,0x3001,0x3001,0x31CE,0x31CF
8,0x05D4,0x05D5,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31E1,0x31E2,0x3001,0x3001,0x3001,0x05D6,0x05D5
9,0x05DC,0x05DD,0x31CE,0x05F3,0x05E7,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD
10,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x05D4,0x05D5,0x05D4,0x05D7,0x31E0,0x31D9,0x31D9,0x31D9,0x31D9,0x31E2,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
