map,ScorchedSlab_Layout,width,15,height,20,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
1,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611
2,0x0611,0x0611,0x0612,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0618,0x061C,0x0611
3,0x0611,0x0611,0x0612,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0610,0x0611
4,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0611
5,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0611
6,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0611
7,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0611
8,0x0611,0x061B,0x061A,0x0612,0x1289,0x1291,0x1291,0x1291,0x1291,0x1291,0x1281,0x0618,0x061C,0x0610,0x0611
9,0x0611,0x0612,0x061B,0x061A,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1290,0x1281,0x0610,0x0610,0x0611
10,0x0611,0x0612,0x0612,0x1289,0x1292,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
11,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
12,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
13,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
14,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
15,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
16,0x0611,0x0612,0x0612,0x128A,0x1170,0x1170,0x1170,0x1283,0x1170,0x1170,0x1170,0x1288,0x0610,0x0610,0x0611
17,0x0611,0x0612,0x0647,0x0647,0x065E,0x065E,0x068B,0x068C,0x0684,0x065E,0x065E,0x0647,0x0647,0x0610,0x0611
18,0x0611,0x0647,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0624,0x0647,0x0611
19,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
