map,SeafloorCavern_Entrance_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06EB,0x06F9,0x06F9,0x070E,0x06FE,0x06FF,0x06F9,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
1,0x06F1,0x06F1,0x06F1,0x06F1,0x06EB,0x06F9,0x0713,0x06EB,0x06F9,0x0716,0x3306,0x0707,0x06F9,0x06EC,0x0712,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1
2,0x06F1,0x06F1,0x06F1,0x06F1,0x070B,0x06EB,0x06F9,0x070D,0x3124,0x3124,0x3124,0x3124,0x3124,0x070C,0x06F9,0x06EC,0x06F0,0x06F1,0x06F1,0x06F1
3,0x06F1,0x06F1,0x06EB,0x06F9,0x0713,0x0705,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0704,0x0712,0x06EC,0x06F1,0x06F1
4,0x06F1,0x06F1,0x070B,0x06EB,0x06F9,0x070D,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x070C,0x06EC,0x06F0,0x06F1,0x06F1
5,0x06F1,0x06EB,0x0713,0x0705,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0704,0x0712,0x06F9,0x06EC
6,0x06F1,0x070B,0x06EB,0x070D,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x070C,0x06F9,0x06EC,0x070A
7,0x06F1,0x070B,0x0705,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0704,0x070A
8,0x06F1,0x070B,0x0705,0x3124,0x3124,0x3124,0x3124,0x3124,0x318E,0x31A6,0x31A6,0x31A6,0x318D,0x3124,0x3124,0x3124,0x3124,0x3124,0x0704,0x070A
9,0x06F1,0x070B,0x0705,0x3124,0x3124,0x3124,0x318E,0x31A6,0x31A7,0x319E,0x319E,0x319E,0x31A5,0x31A6,0x318D,0x3124,0x3124,0x3124,0x0704,0x070A
10,0x06F1,0x070B,0x0705,0x3124,0x3124,0x318E,0x31A7,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x31A5,0x318D,0x3124,0x3124,0x0704,0x070A
11,0x06F1,0x070B,0x0705,0x3124,0x318E,0x31A7,0x319E,0x11A4,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11A3,0x319E,0x31A5,0x318D,0x3124,0x0704,0x070A
12,0x06F1,0x070B,0x0705,0x318E,0x31A7,0x319E,0x11A4,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11A3,0x319E,0x319D,0x3124,0x0704,0x070A
13,0x06F1,0x070B,0x0705,0x319F,0x319E,0x11A4,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11A3,0x31A5,0x318D,0x0704,0x070A
14,0x06F1,0x070B,0x0705,0x31A7,0x319E,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319D,0x0704,0x070A
15,0x06F1,0x070B,0x0705,0x319E,0x319E,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319D,0x0704,0x070A
16,0x06F1,0x06F4,0x0790,0x06A7,0x319E,0x11B7,0x1170,0x1170,0x1156,0x1156,0x1156,0x1156,0x1170,0x1170,0x1170,0x11B5,0x06AF,0x0697,0x06F3,0x06F3
17,0x06F1,0x06F1,0x06F1,0x0790,0x06A7,0x11B7,0x1170,0x1156,0x1294,0x1294,0x1294,0x1294,0x1156,0x1170,0x06B6,0x0790,0x0790,0x06F1,0x06F1,0x06F1
18,0x06F1,0x06F1,0x06F1,0x06F1,0x0790,0x0790,0x06B7,0x1156,0x1294,0x1294,0x1294,0x1294,0x1156,0x06B6,0x0790,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
19,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x0790,0x0790,0x0790,0x0790,0x0790,0x0790,0x0790,0x0790,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
