map,SeafloorCavern_Room5_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x06F1,0x06EB,0x06F9,0x070E,0x06FE,0x06FF,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
1,0x06F1,0x06F2,0x06EB,0x0716,0x3306,0x0707,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F0,0x06F1,0x06F1,0x0689,0x0691,0x0691,0x0691,0x0681,0x06F1
2,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x06F1,0x068A,0x0693,0x0693,0x0693,0x0688,0x06F1
3,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x06F1,0x068A,0x0693,0x0693,0x0693,0x0688,0x06F1
4,0x06F1,0x06F3,0x06F3,0x06E9,0x06E9,0x06E9,0x06EA,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x06F1,0x06F3,0x06F3,0x0682,0x0693,0x0688,0x06F1
5,0x0689,0x0691,0x0681,0x06F1,0x06F1,0x06F1,0x06F2,0x06EA,0x3201,0x3201,0x06F0,0x06F8,0x06F9,0x06F9,0x06F9,0x06EC,0x068A,0x0693,0x0688,0x06F1
6,0x068A,0x0693,0x0688,0x06F1,0x06EB,0x06F9,0x06FA,0x06F2,0x3201,0x3201,0x06F8,0x06F9,0x06F9,0x06F9,0x06EC,0x06F0,0x06F3,0x06F3,0x06F3,0x06F1
7,0x06F3,0x06F3,0x06F3,0x06F1,0x06F2,0x06EB,0x06F9,0x06FA,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1
8,0x06F1,0x06EB,0x06F9,0x06F9,0x06FA,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F8,0x06F9,0x06F9,0x06F9,0x06EC
9,0x06F1,0x06F2,0x06EB,0x06F9,0x06F9,0x06FA,0x3201,0x3201,0x3201,0x06E8,0x06E9,0x06EA,0x3201,0x3201,0x06F8,0x06F9,0x06F9,0x06F9,0x06EC,0x06F0
10,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06E8,0x06F0,0x06F1,0x06F2,0x06EA,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0
11,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0
12,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x06E8,0x06E9,0x06EA,0x06F0,0x06F0,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3207,0x3201,0x3201,0x06F0,0x06F0
13,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x06F0,0x0611,0x06F2,0x06F0,0x06F0,0x06F1,0x06F3,0x06F3,0x06E9,0x06E5,0x06E6,0x06E7,0x06E9,0x06F3,0x06F3
14,0x06F1,0x06F2,0x06F2,0x3201,0x06E8,0x06F3,0x0611,0x06F2,0x06F0,0x06F8,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x0689,0x0691,0x0691,0x0681
15,0x06F1,0x06F2,0x06F2,0x3201,0x06F8,0x06F9,0x06F9,0x06FA,0x06F8,0x06F9,0x06EC,0x06F0,0x06F1,0x06F1,0x06F1,0x0689,0x0692,0x0693,0x0693,0x0688
16,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x0689,0x0691,0x0692,0x0693,0x0693,0x0693,0x0688
17,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3207,0x3201,0x3201,0x06F0,0x06F0,0x06F1,0x068A,0x0693,0x0693,0x0693,0x0693,0x0680,0x06F3
18,0x06F1,0x06F3,0x06F3,0x06E9,0x06E9,0x06E9,0x06E5,0x06E6,0x06E7,0x06E9,0x06F3,0x06F3,0x06F1,0x06F3,0x0682,0x0693,0x0680,0x06F3,0x06F3,0x06F1
19,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F3,0x06F3,0x06F3,0x06F1,0x06F1,0x06F1
