map,SeafloorCavern_Room6_Layout,width,24,height,23,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0x068D,0x0681,0x0681,0x0681,0x0689,0x068A,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x068E
1,0x067A,0x068D,0x0681,0x0690,0x3291,0x0692,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x068E,0x0678
2,0x067A,0x067A,0x3279,0x3279,0x3279,0x3279,0x1180,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1181,0x0678,0x0678
3,0x067A,0x067A,0x3279,0x3279,0x3279,0x3279,0x1190,0x1170,0x128C,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x128B,0x1192,0x0678,0x0678
4,0x067A,0x067A,0x3279,0x3279,0x3279,0x3279,0x1190,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1283,0x1192,0x0678,0x0678
5,0x067A,0x067A,0x3279,0x3279,0x3279,0x3279,0x1190,0x1170,0x128C,0x1170,0x1170,0x1170,0x0675,0x0676,0x0676,0x0676,0x0677,0x1170,0x1170,0x1170,0x1283,0x1192,0x0678,0x0678
6,0x067A,0x067A,0x1180,0x1189,0x1189,0x1189,0x1198,0x1170,0x128C,0x1170,0x1170,0x0675,0x068F,0x067E,0x067E,0x067E,0x0697,0x0677,0x1170,0x1170,0x1283,0x1192,0x0678,0x0678
7,0x067A,0x067A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x128C,0x1170,0x1170,0x067D,0x0680,0x0688,0x0689,0x068A,0x0682,0x067F,0x1170,0x1170,0x1283,0x1192,0x0678,0x0678
8,0x067A,0x067A,0x1190,0x1170,0x1170,0x1284,0x1284,0x1284,0x128C,0x1170,0x1170,0x0685,0x0686,0x0686,0x1291,0x0692,0x0686,0x0687,0x1170,0x1170,0x1283,0x1192,0x0678,0x0678
9,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x1170,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1283,0x1170,0x1170,0x1170,0x1170,0x1284,0x1283,0x1192,0x0678,0x0678
10,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x1170,0x1170,0x128C,0x1170,0x1284,0x1284,0x1284,0x1284,0x1283,0x1170,0x1170,0x1170,0x1170,0x1283,0x1283,0x1192,0x0678,0x0678
11,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x1170,0x1170,0x128C,0x1170,0x1283,0x1170,0x1170,0x1170,0x1170,0x1170,0x128C,0x128B,0x128B,0x1170,0x1283,0x1192,0x0678,0x0678
12,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x128B,0x1170,0x1284,0x1283,0x128C,0x128B,0x128B,0x128B,0x128B,0x128B,0x1170,0x1170,0x1283,0x1170,0x1192,0x0678,0x0678
13,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x128C,0x1170,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1283,0x1170,0x1192,0x0678,0x0678
14,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x128C,0x1170,0x1170,0x1284,0x1284,0x1284,0x128C,0x1170,0x1170,0x1170,0x1170,0x1283,0x1170,0x1192,0x0678,0x0678
15,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1283,0x1170,0x1192,0x0678,0x0678
16,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1284,0x1170,0x1284,0x1284,0x1284,0x1284,0x1283,0x1170,0x1192,0x0678,0x0678
17,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x128C,0x1170,0x1170,0x1170,0x1170,0x1283,0x1284,0x1284,0x1284,0x1284,0x1283,0x1170,0x1170,0x1192,0x0678,0x0678
18,0x067A,0x067A,0x1190,0x1170,0x1283,0x1170,0x128C,0x1170,0x1284,0x1284,0x1284,0x1284,0x1284,0x1283,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0678,0x0678
19,0x067A,0x067A,0x1190,0x1170,0x1283,0x128B,0x128B,0x1170,0x1170,0x1283,0x1170,0x1170,0x1170,0x1283,0x1170,0x1170,0x1170,0x1170,0x1170,0x0675,0x0676,0x0693,0x0693,0x0693
20,0x067A,0x067A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x0675,0x069C,0x326F,0x326F,0x326F,0x069B,0x0676,0x0677,0x1170,0x0675,0x0676,0x0693,0x067E,0x067E,0x067E,0x067E
21,0x0694,0x0694,0x0694,0x0676,0x0676,0x0676,0x0676,0x0676,0x0693,0x067A,0x327E,0x3296,0x327E,0x0678,0x067E,0x0694,0x0676,0x0693,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E
22,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x0694,0x0698,0x0699,0x069A,0x0693,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E,0x067E
