map,SeafloorCavern_Room8_Layout,width,11,height,14,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
1,0x06F1,0x06EB,0x06F9,0x06F9,0x070E,0x06FE,0x06FF,0x06F9,0x36F9,0x06EC,0x06F1
2,0x06F1,0x06F2,0x02F1,0x06EB,0x0716,0x3306,0x0707,0x06EC,0x02F1,0x06F0,0x06F1
3,0x06F1,0x06F2,0x06EB,0x06FA,0x3201,0x3201,0x3201,0x06F8,0x06EC,0x06F0,0x06F1
4,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
5,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
6,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
7,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
8,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
9,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
10,0x06F1,0x06F2,0x06F2,0x3201,0x064C,0x0651,0x064D,0x3201,0x06F0,0x06F0,0x06F1
11,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3201,0x3201,0x3201,0x06F0,0x06F0,0x06F1
12,0x06F1,0x06F2,0x06F2,0x3201,0x3201,0x3207,0x3201,0x3201,0x06F0,0x06F0,0x06F1
13,0x06F1,0x06F3,0x06F3,0x06E9,0x06E5,0x06E6,0x06E7,0x06E9,0x06F4,0x06F4,0x06F1
