map,SealedChamber_OuterRoom_Layout,width,21,height,23,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
1,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0660,0x062A,0x062B,0x062C,0x0661,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610
2,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0629,0x0632,0x3233,0x0634,0x0629,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610
3,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
4,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
5,0x0612,0x0612,0x0612,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x060A,0x0610,0x0610,0x0610
6,0x0612,0x0612,0x0612,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x061A,0x0610,0x0610,0x0610
7,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
8,0x0612,0x0612,0x0612,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x060A,0x0610,0x0610,0x0610
9,0x0612,0x0612,0x0612,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x061A,0x0610,0x0610,0x0610
10,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
11,0x0612,0x0612,0x0612,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
12,0x0612,0x0612,0x0612,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
13,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
14,0x0612,0x0612,0x0612,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
15,0x0612,0x0612,0x0612,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x0618,0x0635,0x0635,0x0635,0x061A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
16,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
17,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x1180,0x1189,0x1189,0x1189,0x1181,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
18,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x1190,0x1156,0x1156,0x1156,0x1192,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
19,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x1190,0x1156,0x1147,0x1156,0x1192,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
20,0x0612,0x0612,0x0624,0x0667,0x0667,0x0667,0x0667,0x0667,0x065F,0x065F,0x065F,0x065F,0x065F,0x0667,0x0667,0x0667,0x0667,0x0667,0x0623,0x0610,0x0610
21,0x0612,0x0624,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610
22,0x0624,0x0624,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0623
