map,SecretBase_RedCave4_Layout,width,9,height,15,primary,gTileset_SecretBase,secondary,gTileset_SecretBaseRedCave
y\x,0,1,2,3,4,5,6,7,8
0,0x0610,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0603
1,0x0610,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
2,0x0610,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
3,0x0610,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
4,0x0610,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
5,0x0610,0x0611,0x0612,0x0612,0x0612,0x0607,0x3622,0x3605,0x0613
6,0x0610,0x0610,0x0610,0x0610,0x0610,0x0609,0x3623,0x060B,0x0610
7,0x0601,0x0602,0x0602,0x0602,0x0602,0x060F,0x3214,0x060B,0x0610
8,0x0609,0x320A,0x320A,0x320A,0x320A,0x320E,0x320A,0x060B,0x0610
9,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B,0x0610
10,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B,0x0610
11,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x360D,0x0603
12,0x0609,0x320A,0x3204,0x320A,0x320A,0x320A,0x320A,0x3620,0x060B
13,0x0611,0x0612,0x060C,0x0612,0x0607,0x320A,0x320A,0x320A,0x060B
14,0x0610,0x0610,0x0610,0x0610,0x0611,0x0612,0x0612,0x0612,0x0613
