map,SecretBase_YellowCave3_Layout,width,12,height,11,primary,gTileset_SecretBase,secondary,gTileset_SecretBaseYellowCave
y\x,0,1,2,3,4,5,6,7,8,9,10,11
0,0x0610,0x0610,0x0610,0x0610,0x0610,0x0610,0x0610,0x0601,0x0602,0x0602,0x0602,0x0603
1,0x0601,0x0602,0x0602,0x0603,0x0610,0x0610,0x0610,0x0609,0x320A,0x320A,0x320A,0x060B
2,0x0609,0x320A,0x320A,0x060B,0x0610,0x0610,0x0610,0x0609,0x320A,0x320A,0x320A,0x060B
3,0x0609,0x320A,0x320A,0x060B,0x0610,0x0610,0x0610,0x0609,0x320A,0x320A,0x320A,0x060B
4,0x0609,0x320A,0x320A,0x060D,0x0602,0x0602,0x0602,0x060F,0x320A,0x320A,0x320A,0x060B
5,0x0609,0x320A,0x320A,0x3620,0x320A,0x320A,0x320A,0x320E,0x320A,0x320A,0x320A,0x060B
6,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
7,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x060B
8,0x0609,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3605,0x0613
9,0x0610,0x3607,0x320A,0x320A,0x320A,0x3204,0x320A,0x320A,0x320A,0x320A,0x060B,0x0610
10,0x0610,0x0611,0x0612,0x0612,0x0612,0x060C,0x0612,0x0612,0x0612,0x0612,0x0613,0x0610
