map,ShoalCave_HighTideInnerRoom_Layout,width,46,height,38,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611
1,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611
2,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x4211,0x4211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611
3,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x061B,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x06AC,0x061C,0x0610,0x4211,0x4211,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x061C
4,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11A4,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11A3,0x06A3,0x0610,0x4211,0x4211,0x0610,0x3211,0x3211,0x3205,0x3211,0x3211,0x0610
5,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x42BB,0x42BB,0xF393,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF394,0x42BD,0x42BD,0x4211,0x4211,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610
6,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x42C3,0x42C3,0xF39B,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39C,0x42C5,0x42C5,0x4211,0x4211,0x0618,0x0619,0x0619,0x0204,0x0619,0x061C,0x0610
7,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610,0x0610
8,0x0612,0x0612,0x4211,0x4211,0x4211,0x061B,0x0619,0x061A,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610,0x0610
9,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x335B,0x3211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610
10,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x319B,0x06A3,0x5211,0x5211,0x5211,0x5211,0x5211,0x535B,0x5211,0x0610,0x0610,0x0610
11,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x0211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
12,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x11B5,0x066D,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x066F,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06AB,0x06AC,0x3204,0x06AC,0x06AC,0x06AC,0x06AC,0x061C,0x0610,0x0610,0x0610
13,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x061B,0x3204,0x06AD,0x11B7,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x535B,0x0620,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x0622,0x5223,0x5209,0x066F,0x319E,0x319E,0x11A4,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11A3,0x06A3,0x0610,0x0610,0x0610
14,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11A4,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x0610,0x4211,0x4205,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x0610,0x0610
15,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x0610,0x0610
16,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x0618,0x0619,0x0619,0x061C,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x0610,0x0610
17,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06AB,0x06AC,0x0204,0x06AC,0x06AC,0x061C,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319C,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x319B,0x06A3,0x0610,0x0610,0x0610
18,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11A3,0x319E,0x319E,0x319E,0x06A3,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x0610,0x0610,0x0610
19,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11A3,0x06A3,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x066D,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x5223,0x0610,0x0610,0x0610
20,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x5211,0x5211,0x5211,0x5211,0x535B,0x5211,0x0610,0x0610,0x0610
21,0x0612,0x0612,0x4211,0x4211,0x4211,0x42BB,0x42BB,0xF393,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF395,0xF394,0x42BD,0x42BD,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
22,0x0612,0x0612,0x4211,0x4211,0x4211,0x42C3,0x42C3,0xF39B,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39D,0xF39C,0x42C5,0x42C5,0x4211,0x4211,0x4211,0x4211,0x0612,0x0211,0x0211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
23,0x0612,0x0612,0x061B,0x0619,0x0619,0x061A,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x0618,0x0619,0x4204,0x0619,0x0619,0x061A,0x061B,0x3204,0x06AD,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06AB,0x0204,0x06AC,0x061C,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
24,0x0612,0x0612,0x0612,0x061B,0x06AC,0x06AC,0x06AD,0x319C,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x06A5,0x11A4,0x11BE,0x11BE,0x11BE,0x11BE,0x11BE,0x11A3,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
25,0x0612,0x0612,0x0612,0x5223,0x526E,0x526E,0x526E,0x526E,0x526E,0x066F,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BE,0x11BE,0x11A3,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
26,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x319B,0x06A3,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
27,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x061B,0x0619,0x0204,0x06AD,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x066D,0x066E,0x0623,0x0620,0x0609,0x0609,0x0609,0x0609,0x0622,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
28,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319C,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x319B,0x06A3,0x0620,0x0609,0x0609,0x0611,0x0611,0x0611,0x0611,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
29,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x06A5,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
30,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x0610,0x0620,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x06A5,0x319C,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x319B,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
31,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5223,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x526E,0x5223,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x06A5,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x06A3,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
32,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0612,0x0623,0x0623,0x066E,0x066E,0x066E,0x066E,0x066E,0x066E,0x066E,0x066E,0x066E,0x066E,0x0631,0x5223,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
33,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x523C,0x5211,0x5211,0x5211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0611,0x0611,0x0611,0x0612,0x5211,0x5211,0x523C,0x5211,0x5211,0x0610,0x0610,0x0610
34,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0609,0x0623,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0611,0x0611,0x0611,0x0623,0x0609,0x0658,0x0659,0x065A,0x0609,0x0623,0x0610,0x0610
