map,ShoalCave_LowTideEntranceRoom_Layout,width,35,height,35,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
1,0x0612,0x061B,0x0619,0x0619,0x0619,0x060B,0x060C,0x060D,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x060B,0x060C,0x060D,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610
2,0x0612,0x0612,0x061B,0x0619,0x0619,0x0613,0x3214,0x0615,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0613,0x3214,0x0615,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610
3,0x0612,0x0612,0x0612,0x3298,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x329A,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x3211,0x3211,0x0638,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
4,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A2,0x0612,0x061B,0x0619,0x060B,0x060C,0x060D,0x0619,0x061C,0x0610,0x3211,0x3211,0x0638,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
5,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A1,0x32A9,0x32A9,0x32A9,0x32A9,0x32A9,0x32A9,0x32A9,0x32AA,0x0612,0x0612,0x061B,0x0613,0x3214,0x0615,0x061C,0x0610,0x0610,0x3211,0x3211,0x0640,0x0651,0x0651,0x0651,0x0651,0x0651,0x0610,0x0610,0x0610
6,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A2,0x061B,0x0619,0x0619,0x0619,0x0619,0x3204,0x0619,0x0619,0x061A,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610,0x0610
7,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A2,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x3298,0x329A,0x3201,0x0610,0x0610,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610,0x0610
8,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A2,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x061B,0x0619,0x0619,0x0669,0x32A1,0x32A1,0x329A,0x0610,0x0610,0x0618,0x0619,0x3204,0x0619,0x0619,0x0619,0x061C,0x3211,0x3211,0x0610,0x0610,0x0610
9,0x0612,0x0612,0x0612,0x32A8,0x32A9,0x32A9,0x32AA,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0612,0x3201,0x3201,0x32A8,0x32A1,0x32A1,0x32A2,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
