map,ShoalCave_LowTideIceRoom_Layout,width,20,height,30,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x077B,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x077C,0x0781,0x0781,0x0781
1,0x0782,0x077B,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x0789,0x077C,0x0781,0x0780,0x0781,0x0781,0x0781
2,0x0782,0x0782,0x338D,0x338D,0x338D,0x338D,0x077E,0x338D,0x338D,0x077E,0x338D,0x338D,0x338D,0x338D,0x0780,0x0781,0x0780,0x0781,0x0781,0x0781
3,0x0782,0x0782,0x338D,0x077D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x077D,0x0780,0x0781,0x0780,0x0781,0x0781,0x0781
4,0x0782,0x0782,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x077D,0x338D,0x077E,0x0780,0x0781,0x0780,0x0781,0x0781,0x0781
5,0x0782,0x0782,0x338D,0x338D,0x338D,0x338D,0x328F,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x0788,0x077C,0x0780,0x0781,0x0781,0x0781
6,0x0782,0x0782,0x338D,0x338D,0x338D,0x338D,0x338D,0x077E,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x338D,0x0780,0x0780,0x0781,0x0781,0x0781
7,0x0782,0x0782,0x338D,0x338D,0x338E,0x338F,0x0778,0x4379,0x4379,0x4379,0x077A,0x338F,0x338F,0x077E,0x077D,0x0780,0x0780,0x0781,0x0781,0x0781
8,0x0782,0x0782,0x338D,0x338D,0x338E,0x0778,0x4383,0x4381,0x4381,0x4381,0x0782,0x3385,0x3385,0x3385,0x3385,0x0780,0x0788,0x0789,0x0789,0x077C
9,0x0782,0x0782,0x338D,0x338F,0x3385,0x0780,0x4381,0x4381,0x4381,0x4381,0x0782,0x0677,0x0687,0x0687,0x067F,0x0788,0x0789,0x0777,0x077C,0x0780
10,0x0782,0x0782,0x338D,0x0778,0x4379,0x4383,0x4381,0x4381,0x4381,0x4381,0x0782,0x3385,0x3387,0x3387,0x3385,0x3385,0x3385,0x337F,0x0780,0x0780
