map,ShoalCave_LowTideInnerRoom_Layout,width,46,height,38,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611
1,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611
2,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x4211,0x4211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611
3,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x4211,0x4211,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x061C
4,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x4211,0x4211,0x0610,0x3211,0x3211,0x3205,0x3211,0x3211,0x0610
5,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x42BB,0x42BB,0x42BB,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0x42BD,0x42BD,0x42BD,0x4211,0x4211,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610
6,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x42C3,0x42C3,0x42C3,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0x42C5,0x42C5,0x42C5,0x4211,0x4211,0x0618,0x0619,0x0619,0x0204,0x0619,0x061C,0x0610
7,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x0610,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610,0x0610
8,0x0612,0x0612,0x4211,0x4211,0x4211,0x061B,0x0619,0x061A,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x535A,0x5201,0x5201,0x0610,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610,0x0610
9,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x335B,0x3211,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x5201,0x0610,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610
10,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x0612,0x0612,0x5201,0x5201,0x5201,0x0608,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3223,0x0610,0x5211,0x5211,0x5211,0x5211,0x5211,0x535B,0x5211,0x0610,0x0610,0x0610
11,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x0612,0x0612,0x5201,0x5201,0x5201,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
12,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x0612,0x0612,0x5201,0x5201,0x5201,0x0610,0x0620,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x0622,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x0619,0x0204,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x0610
13,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x061B,0x3204,0x061A,0x0612,0x5201,0x5201,0x5201,0x0610,0x0610,0x5211,0x535B,0x0620,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x0622,0x5223,0x5209,0x0622,0x3211,0x3211,0x061B,0x0619,0x0619,0x3204,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x0610,0x0610
14,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x061B,0x0619,0x061A,0x5201,0x5201,0x5201,0x0610,0x0610,0x5211,0x5211,0x0610,0x4211,0x4205,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x0612,0x061B,0x0619,0x3204,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x0610,0x0610,0x0610
15,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x0610,0x0610,0x5211,0x5211,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3205,0x3201,0x0610,0x0610,0x0610,0x0610,0x0610,0x0610
16,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x0610,0x0610,0x5211,0x5211,0x0618,0x0619,0x0619,0x061C,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x0610,0x0610,0x0610,0x0610
17,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x5201,0x5201,0x5201,0x5201,0x5201,0x0610,0x0618,0x0619,0x0204,0x0619,0x0619,0x061C,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3223,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3223,0x0610,0x0610,0x0610,0x0610
18,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x061B,0x0619,0x0619,0x0204,0x061C,0x0618,0x060B,0x060C,0x060D,0x0619,0x061C,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610,0x0610,0x0610
19,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0618,0x0613,0x0613,0x3214,0x0615,0x061C,0x0610,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0620,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5223,0x0610,0x0610,0x0610
20,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x5211,0x5211,0x5211,0x5211,0x5211,0x535B,0x5211,0x0610,0x0610,0x0610
21,0x0612,0x0612,0x4211,0x4211,0x4211,0x42BB,0x42BB,0x42BB,0x42BB,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0x42BD,0x42BD,0x42BD,0x42BD,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
22,0x0612,0x0612,0x4211,0x4211,0x4211,0x42C3,0x42C3,0x42C3,0x42C3,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0x42C5,0x42C5,0x42C5,0x42C5,0x4211,0x4211,0x4211,0x4211,0x0612,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
23,0x0612,0x0612,0x061B,0x0619,0x0619,0x061A,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0618,0x0619,0x4204,0x0619,0x0619,0x061A,0x061B,0x0204,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x5204,0x0619,0x061C,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
24,0x0612,0x0612,0x0612,0x061B,0x0619,0x0619,0x061A,0x0612,0x0623,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x061B,0x0619,0x060B,0x060C,0x060D,0x3204,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
25,0x0612,0x0612,0x0612,0x5223,0x5209,0x5209,0x5209,0x5223,0x5209,0x0631,0x3209,0x0622,0x0612,0x3201,0x3201,0x0608,0x0609,0x0623,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x061B,0x0613,0x3214,0x0615,0x3204,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
26,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0612,0x3211,0x0612,0x0612,0x3201,0x335A,0x0610,0x0620,0x0609,0x0623,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
27,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x061B,0x0619,0x0204,0x061A,0x3211,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610,0x0620,0x0609,0x0623,0x0620,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
28,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x0612,0x0623,0x0609,0x0609,0x0623,0x0610,0x0610,0x0620,0x0609,0x0623,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
29,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3223,0x3209,0x3209,0x3209,0x3209,0x3223,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3207,0x3201,0x0610,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
30,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610,0x0620,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0623,0x0610,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
31,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5209,0x5223,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
32,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0612,0x0623,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0631,0x5209,0x5209,0x5209,0x5223,0x5211,0x5211,0x5211,0x5211,0x0610,0x0610,0x0610
33,0x0612,0x0612,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x5211,0x523C,0x5211,0x5211,0x5211,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x5211,0x5211,0x5211,0x5211,0x5211,0x523C,0x5211,0x5211,0x0610,0x0610,0x0610
34,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0609,0x0623,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0623,0x0610,0x0610
35,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0622,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0610,0x0610
