map,ShoalCave_LowTideLowerRoom_Layout,width,31,height,14,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
1,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x0619,0x060F,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
2,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3217,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x335A,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610
3,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610
4,0x061B,0x0619,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0648,0x0651,0x0651,0x0651,0x0651,0x0651,0x0608,0x0609,0x3609,0x3609,0x3609,0x0609,0x060A,0x3201,0x3201,0x0610,0x0610
5,0x0612,0x061B,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0639,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0608,0x3609,0x3609,0x3609,0x060A,0x0612,0x3201,0x3201,0x0610,0x0610
6,0x0612,0x0612,0x3207,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0639,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610
7,0x0612,0x0658,0x0659,0x065A,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610
8,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610
9,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610
10,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610
11,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x3207,0x0610,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x3201,0x3205,0x0610,0x0610
12,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0658,0x0659,0x065A,0x0610,0x0611,0x0611,0x0611,0x0612,0x3623,0x3609,0x3609,0x3623,0x0610
13,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0623,0x0611,0x0611,0x0611,0x3623,0x3609,0x3609,0x3609,0x3609,0x3623
