map,ShoalCave_LowTideStairsRoom_Layout,width,21,height,15,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619
1,0x0611,0x0611,0x0611,0x061B,0x061A,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0631,0x0609,0x0609
2,0x0611,0x0611,0x061B,0x061A,0x0620,0x0610,0x0602,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0602,0x0611,0x0611,0x0611,0x0611,0x0612,0x0601,0x0601
3,0x0611,0x061B,0x061A,0x0620,0x0610,0x0618,0x0619,0x060F,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0601,0x0601
4,0x061B,0x061A,0x0620,0x0610,0x0610,0x0602,0x3201,0x3217,0x3201,0x3201,0x3201,0x3201,0x3602,0x3201,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619
5,0x0612,0x0620,0x0610,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x3204,0x0619,0x0619,0x061A,0x0601,0x0601,0x0602,0x0601,0x0601,0x0601
6,0x0612,0x0610,0x0610,0x0610,0x3603,0x3201,0x3603,0x3201,0x3201,0x3201,0x3201,0x3201,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619
7,0x0612,0x0610,0x0610,0x0618,0x0619,0x0619,0x0619,0x3204,0x0619,0x0619,0x0619,0x0619,0x061A,0x0601,0x0602,0x0601,0x3603,0x0601,0x0601,0x0601,0x0601
8,0x0612,0x0610,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3602,0x3201,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619
9,0x0612,0x0610,0x0618,0x0619,0x3204,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0602,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
10,0x0612,0x0610,0x3201,0x3603,0x3201,0x3201,0x3201,0x3201,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
11,0x0612,0x0618,0x0619,0x060F,0x0619,0x0619,0x0619,0x3204,0x061A,0x3201,0x3201,0x335A,0x3201,0x3201,0x0610,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
12,0x0612,0x3201,0x3201,0x3217,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0601,0x3603,0x0601,0x0601,0x0601,0x0601
13,0x0612,0x3603,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619
14,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609
