map,SkyPillar_Entrance_Layout,width,18,height,18,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
1,0x0611,0x0611,0x0612,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0610
2,0x0611,0x0611,0x0612,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610
3,0x0611,0x061B,0x061A,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3618,0x061C,0x0610
4,0x0611,0x0612,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3207,0x3201,0x0610,0x0610
5,0x0611,0x0612,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0623,0x068B,0x068C,0x0684,0x0623,0x0610
6,0x0611,0x0612,0x0611,0x0612,0x061B,0x0619,0x3204,0x0619,0x061C,0x3201,0x0610,0x0611,0x0611,0x0611,0x0620,0x0609,0x0609,0x0623
7,0x0611,0x0612,0x061B,0x061A,0x0612,0x3201,0x3201,0x3201,0x3618,0x061C,0x0610,0x0620,0x0609,0x0609,0x0623,0x0611,0x0611,0x0611
8,0x0611,0x0612,0x0612,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
9,0x0611,0x0612,0x0612,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
10,0x0611,0x0612,0x0612,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
11,0x0611,0x0612,0x0612,0x0612,0x061B,0x0619,0x3204,0x0619,0x061C,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
12,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
13,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
14,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
15,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
16,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3207,0x3201,0x0610,0x0610,0x0610,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
17,0x0611,0x0623,0x0623,0x0623,0x0623,0x068B,0x068C,0x0684,0x0623,0x0623,0x0623,0x0623,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
