map,SkyPillar_Outside_Layout,width,28,height,23,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x36B7,0x06A0,0x06A1,0x06A2,0x06A3,0x06A4,0x36B7,0x36B7,0x36B7,0x3574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x36B7,0x36B7,0x3121,0x06A0,0x06A2,0x06A2,0x06A2,0x06A4,0x06BB,0x04E2,0x3121,0x36B7,0x36B7,0x36B7,0x0574,0x1170,0x1170,0x1170,0x1170
2,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x36B7,0x36B7,0x3121,0x3121,0x3121,0x06A0,0x06A1,0x06A2,0x06A3,0x06A4,0x36BA,0x36BB,0x3121,0x3121,0x3121,0x3121,0x0475,0x0573,0x0574,0x1170,0x1170
3,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0473,0x3121,0x3121,0x3121,0x04E2,0x3121,0x06A0,0x06A2,0x06A2,0x06A2,0x06A4,0x36BA,0x36BA,0x36BB,0x3121,0x04E2,0x3121,0x0475,0x0471,0x0475,0x0574,0x1170
4,0x1170,0x1170,0x1170,0x1170,0x0572,0x0473,0x0473,0x3121,0x3121,0x3121,0x3121,0x3121,0x06A8,0x06A9,0x06AA,0x06AB,0x06AC,0x36BA,0x36BA,0x06BC,0x36BB,0x3121,0x3121,0x0475,0x0471,0x0475,0x0475,0x0179
5,0x1170,0x1170,0x1170,0x1178,0x0473,0x0473,0x0473,0x3121,0x3121,0x3121,0x04E2,0x04E2,0x06B0,0x06B1,0x32B2,0x06B3,0x06B4,0x06BC,0x36BA,0x36BA,0x36BA,0x36BB,0x3121,0x0475,0x0471,0x0475,0x0475,0x0190
6,0x1170,0x1170,0x1170,0x1192,0x0473,0x0473,0x047B,0x0489,0x3121,0x04E2,0x3124,0x3124,0x32A6,0x32B9,0x32BA,0x32BA,0x32BA,0x32BA,0x06BC,0x06BC,0x06BA,0x06BA,0x36BB,0x0475,0x0471,0x0475,0x0475,0x0190
7,0x1170,0x1170,0x1170,0x1192,0x0473,0x0473,0x0471,0x0473,0x04E2,0x3124,0x3124,0x3124,0x3124,0x32A6,0x32B9,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x06BC,0x06BA,0x06BA,0x0475,0x0474,0x047D,0x0475,0x0190
8,0x1170,0x1170,0x1170,0x1192,0x0473,0x047B,0x0489,0x0473,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x32A6,0x32B9,0x32BA,0x32BA,0x32BA,0x32BA,0x32BA,0x06BC,0x0474,0x047D,0x0475,0x0471,0x0475,0x0190
9,0x1170,0x1170,0x1170,0x1192,0x047B,0x0489,0x0473,0x0473,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x32A6,0x06B5,0x06A5,0x06A5,0x06B8,0x06BC,0x32BA,0x0475,0x0471,0x0475,0x0471,0x0475,0x0190
