map,SkyPillar_Top_Layout,width,27,height,24,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1
1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1
2,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1,0x04D1
3,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x36AD,0x3264,0x3264,0x3264,0x3264,0x3264,0x36AE,0x3264,0x36AE,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264,0x3264
4,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3637,0x061F,0x060F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x061F,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x3234
5,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234
6,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234
7,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234
8,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x060F,0x3234,0x3637,0x3234,0x3234,0x3234,0x3234
9,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234
10,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3637,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234
11,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x3637,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234
12,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3637,0x060F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3637,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234
13,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x066D,0x329D,0x329E,0x066E,0x0627,0x063B,0x063C,0x063D,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627
14,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x066A,0x329D,0x329E,0x066B,0x062F,0x0643,0x324C,0x0645,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F
15,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x0617,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x3235,0x0607,0x3235,0x3235,0x0617,0x3235,0x3235,0x3235,0x3235,0x3235
16,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234
17,0x3234,0x3234,0x3234,0x3234,0x061F,0x3234,0x3234,0x060F,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x3234,0x060F,0x061F,0x3234,0x3234,0x061F,0x3234,0x3234,0x3234,0x3234,0x3234
18,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B,0x065B
19,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2
20,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2,0x06A2
