map,SlateportCity_Layout,width,40,height,60,primary,gTileset_General,secondary,gTileset_Slateport
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x300E,0x3001,0x3001,0x3001,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170
1,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170
2,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170
3,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0541,0x3001,0x3001,0x3001,0x3001,0x3001,0x0539,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170
4,0x118A,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0542,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x1170,0x1170
5,0x1192,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x0542,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x0416,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x1190,0x1170,0x0550,0x0551
6,0x1192,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x3001,0x0542,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x3001,0x0416,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x0564,0x0551,0x0558,0x0559
7,0x1192,0x04C6,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x0542,0x3270,0x3271,0x3271,0x3271,0x3272,0x0540,0x3001,0x3001,0x0416,0x0695,0x0696,0x0696,0x0696,0x0696,0x0696,0x0697,0x04C7,0x04C7,0x04C7,0x04C7,0x056C,0x0559,0x1170,0x1170
8,0x1192,0x04C6,0x04C6,0x0541,0x0549,0x0549,0x0549,0x0549,0x0705,0x0706,0x0706,0x0706,0x0707,0x0549,0x0549,0x054A,0x3278,0x3279,0x3279,0x3279,0x327A,0x0548,0x0549,0x0549,0x0549,0x069D,0x069E,0x069E,0x069E,0x069E,0x069E,0x069F,0x0416,0x0416,0x0416,0x0416,0x1190,0x1170,0x1170,0x1170
9,0x1192,0x0416,0x04C6,0x3542,0x3001,0x3001,0x3001,0x3001,0x070D,0x070E,0x070E,0x070E,0x070F,0x3001,0x3001,0x3001,0x0663,0x3001,0x3001,0x3001,0x0664,0x3001,0x3001,0x3001,0x3001,0x069D,0x069E,0x069E,0x069E,0x069E,0x069E,0x069F,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1170,0x1170
