map,SlateportCity_PokemonFanClub_Layout,width,14,height,11,primary,gTileset_Building,secondary,gTileset_PokemonFanClub
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0x0611,0x0611,0x0614,0x0611,0x0612,0x0611,0x0612,0x0611,0x0612,0x0611,0x0611,0x0614,0x0611,0x0611
1,0x0640,0x0641,0x061C,0x0644,0x061D,0x061D,0x0619,0x061A,0x061D,0x061D,0x0645,0x061C,0x0642,0x0643
2,0x0648,0x0649,0x0624,0x064C,0x3222,0x3221,0x3222,0x3221,0x3222,0x3221,0x064D,0x0625,0x064A,0x064B
3,0x3204,0x3206,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3205,0x3206
4,0x3204,0x3201,0x3228,0x3229,0x3229,0x3250,0x3251,0x3251,0x3252,0x3253,0x3229,0x322A,0x3202,0x3201
5,0x3204,0x3201,0x3230,0x3231,0x0231,0x4258,0x4259,0x4259,0x425A,0x025B,0x3231,0x3232,0x3202,0x3201
6,0x3204,0x3201,0x3230,0x322E,0x3237,0x0660,0x0661,0x0661,0x0662,0x3234,0x322D,0x323F,0x3202,0x3201
7,0x3204,0x3201,0x3230,0x3236,0x3234,0x065C,0x065D,0x065E,0x065F,0x3234,0x3235,0x323B,0x3202,0x3201
8,0x3204,0x3201,0x3238,0x323E,0x323C,0x3264,0x3265,0x3266,0x3267,0x323C,0x323D,0x323A,0x3202,0x3201
9,0x3246,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3201,0x3202,0x3247
10,0x064E,0x3201,0x3202,0x3201,0x3202,0x3201,0x0006,0x0007,0x3202,0x3201,0x3202,0x3201,0x3202,0x064F
