map,SlateportCity_SternsShipyard_1F_Layout,width,21,height,15,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0x0619,0x0619,0x06B3,0x06B4,0x06B5,0x0619,0x0611,0x0619,0x0619,0x0619,0x0619,0x0619,0x0618,0x061B,0x0619,0x061C,0x0619,0x061A,0x0619,0x0619,0x061A
1,0x060E,0x060F,0x06BB,0x02BC,0x06BD,0x0621,0x060A,0x0621,0x0630,0x0631,0x0632,0x0621,0x0620,0x0623,0x0621,0x0624,0x0621,0x0622,0x0621,0x0621,0x0622
2,0x0616,0x0617,0x32B6,0x3204,0x32B7,0x3204,0x060A,0x3229,0x3238,0x3239,0x323A,0x3229,0x3213,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
3,0x3204,0x3204,0x3202,0x3202,0x3202,0x3202,0x0609,0x320B,0x320B,0x320B,0x320B,0x320B,0x320B,0x320B,0x320B,0x3226,0x3229,0x3229,0x3229,0x3229,0x321F
4,0x3241,0x3242,0x3202,0x3202,0x3202,0x3202,0x0611,0x063F,0x06D5,0x06D6,0x06D7,0x06D0,0x06D1,0x06D2,0x06D3,0x0610,0x3229,0x3229,0x3229,0x061F,0x0627
5,0x0649,0x064A,0x3202,0x3202,0x3202,0x321D,0x060A,0x0647,0x0624,0x065B,0x065C,0x0633,0x0634,0x0635,0x0636,0x0620,0x3229,0x3229,0x3229,0x0627,0x0627
6,0x3202,0x321D,0x3202,0x3202,0x060C,0x060D,0x0609,0x064F,0x3229,0x0663,0x0664,0x063B,0x063C,0x063D,0x063E,0x3213,0x3229,0x3229,0x3229,0x062F,0x0637
7,0x3241,0x3242,0x3202,0x3202,0x0614,0x0615,0x0610,0x3229,0x3229,0x326B,0x326C,0x0643,0x0644,0x0645,0x0646,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
8,0x0649,0x064A,0x3202,0x3202,0x321D,0x3202,0x0620,0x3229,0x3229,0x3229,0x3229,0x324B,0x064C,0x064D,0x324E,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
9,0x321D,0x3202,0x3202,0x3202,0x3202,0x3202,0x3212,0x3229,0x3229,0x3229,0x3335,0x3229,0x0655,0x0656,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
10,0x3241,0x3242,0x3202,0x3202,0x3202,0x3202,0x3208,0x3229,0x3229,0x3228,0x325F,0x3228,0x322A,0x322A,0x3335,0x3229,0x3229,0x3229,0x3229,0x3229,0x321F
11,0x0649,0x064A,0x3202,0x3202,0x3202,0x3202,0x0611,0x321F,0x3229,0x3228,0x325F,0x3228,0x3228,0x3228,0x325F,0x3229,0x3229,0x3229,0x061F,0x061F,0x0627
12,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x060A,0x0627,0x321F,0x3228,0x0657,0x3228,0x3228,0x3228,0x0657,0x3229,0x3229,0x3229,0x0627,0x0627,0x0627
13,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x060A,0x062F,0x0627,0x061F,0x3228,0x3228,0x3228,0x3228,0x3228,0x3229,0x3229,0x3229,0x062F,0x062F,0x0637
14,0x3202,0x3202,0x3206,0x3207,0x3202,0x3202,0x060A,0x0637,0x0637,0x062F,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229
