map,SlateportCity_SternsShipyard_2F_Layout,width,17,height,15,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0x0619,0x0619,0x06C3,0x06C4,0x06C5,0x0619,0x061C,0x061B,0x0619,0x0618,0x0619,0x0619,0x061C,0x0619,0x0618,0x0619,0x0619
1,0x0621,0x0621,0x06CB,0x02CC,0x06CD,0x0621,0x0624,0x0623,0x0621,0x0620,0x0621,0x0621,0x0624,0x0621,0x0620,0x0621,0x0621
2,0x3204,0x3204,0x32B6,0x3204,0x32B7,0x3204,0x3204,0x3204,0x3204,0x3212,0x3204,0x3204,0x3204,0x3204,0x3212,0x3204,0x3204
3,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x060C,0x060D,0x321D,0x3202,0x060C,0x060D,0x321D,0x3202
4,0x3240,0x3242,0x3241,0x3242,0x3202,0x3202,0x3202,0x3202,0x321D,0x0614,0x0615,0x3202,0x321D,0x0614,0x0615,0x3202,0x3202
5,0x0648,0x064A,0x0649,0x064A,0x3202,0x3202,0x3202,0x3202,0x0650,0x0651,0x0651,0x0651,0x0651,0x0651,0x0651,0x0652,0x3202
6,0x3202,0x321D,0x3202,0x321D,0x3202,0x3202,0x3202,0x321D,0x0660,0x0663,0x0664,0x063B,0x063C,0x063D,0x063E,0x068D,0x3202
7,0x3241,0x3242,0x3240,0x3242,0x3202,0x3202,0x3202,0x321D,0x0660,0x066B,0x066C,0x0643,0x0644,0x0645,0x0646,0x068D,0x3202
8,0x0649,0x064A,0x0648,0x064A,0x3202,0x3202,0x3202,0x3202,0x0660,0x0629,0x0629,0x064B,0x064C,0x064D,0x064E,0x068D,0x3202
9,0x321D,0x3202,0x3202,0x321D,0x3202,0x3202,0x3202,0x321D,0x0660,0x0629,0x0735,0x0629,0x0655,0x0656,0x0629,0x068D,0x3202
10,0x3241,0x3242,0x3240,0x3242,0x3202,0x3202,0x3202,0x3202,0x0660,0x0628,0x3257,0x0628,0x062A,0x062A,0x0735,0x068D,0x3202
11,0x0649,0x064A,0x0648,0x064A,0x3202,0x3202,0x3202,0x0605,0x0660,0x0628,0x3257,0x0628,0x0628,0x0628,0x3257,0x068D,0x3202
12,0x3202,0x321D,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x0668,0x0669,0x0697,0x0669,0x0669,0x0669,0x0697,0x066A,0x3202
13,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3204,0x3204,0x3204,0x3225,0x3225,0x3204,0x3204,0x3204,0x3202
14,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
