map,SootopolisCity_Gym_1F_Layout,width,17,height,26,primary,gTileset_Building,secondary,gTileset_SootopolisGym
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0x0608,0x063C,0x064A,0x064A,0x060A,0x060B,0x0621,0x064A,0x064A,0x064A,0x0621,0x060A,0x060B,0x064A,0x064A,0x0639,0x0608
1,0x0608,0x0644,0x0645,0x0652,0x0612,0x0613,0x0629,0x0652,0x0652,0x0652,0x0629,0x0612,0x0613,0x0652,0x0640,0x0641,0x0608
2,0x064A,0x064C,0x064D,0x3246,0x061A,0x061B,0x0631,0x322A,0x322B,0x322C,0x0631,0x061A,0x061B,0x3247,0x0648,0x0649,0x064A
3,0x0652,0x0652,0x0655,0x323F,0x323E,0x323E,0x323E,0x3232,0x3233,0x3234,0x323E,0x323E,0x323E,0x323E,0x0650,0x0652,0x0652
4,0x0610,0x0658,0x0659,0x065A,0x064A,0x064A,0x064A,0x063A,0x320F,0x063B,0x064A,0x064A,0x064A,0x064A,0x0660,0x0662,0x0620
5,0x0618,0x0644,0x0645,0x0652,0x0652,0x0652,0x0652,0x0642,0x320F,0x0643,0x0652,0x0652,0x0652,0x0652,0x0640,0x0641,0x0608
6,0x0618,0x0644,0x064D,0x3215,0x3215,0x3215,0x3215,0x3215,0x320D,0x3215,0x3215,0x3215,0x3215,0x3215,0x0648,0x0641,0x0608
7,0x0618,0x0644,0x064D,0x320D,0x320D,0x320D,0x320D,0x320D,0x0603,0x320D,0x320D,0x320D,0x0603,0x320D,0x0648,0x0641,0x0608
8,0x0618,0x0644,0x064D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x0648,0x0641,0x0608
9,0x064E,0x064C,0x064D,0x0603,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x320D,0x0603,0x320D,0x320D,0x0648,0x0649,0x064A
10,0x0656,0x0652,0x0655,0x063C,0x064A,0x064A,0x064A,0x063A,0x320F,0x063B,0x064A,0x064A,0x064A,0x0639,0x0650,0x0652,0x0652
11,0x0610,0x0620,0x0620,0x0644,0x0645,0x0652,0x0652,0x0642,0x320F,0x0643,0x0652,0x0652,0x0640,0x0641,0x0620,0x0620,0x0620
12,0x0618,0x0608,0x0608,0x0644,0x064D,0x3215,0x3215,0x3215,0x320D,0x3215,0x3215,0x3215,0x0648,0x0641,0x0608,0x0608,0x0608
13,0x0618,0x0608,0x0608,0x0644,0x064D,0x320D,0x0603,0x320D,0x320D,0x320D,0x320D,0x320D,0x0648,0x0641,0x0608,0x0608,0x0608
14,0x064E,0x064A,0x064A,0x064C,0x064D,0x320D,0x320D,0x320D,0x320D,0x0603,0x320D,0x320D,0x0648,0x0649,0x064A,0x064A,0x064A
15,0x0656,0x0652,0x0652,0x0652,0x0655,0x063C,0x064A,0x063A,0x320F,0x063B,0x064A,0x0639,0x0650,0x0652,0x0652,0x0652,0x0652
16,0x0610,0x0620,0x0620,0x0620,0x0620,0x0644,0x0645,0x0642,0x320F,0x0643,0x0640,0x0641,0x0620,0x0620,0x0620,0x0620,0x0620
17,0x0618,0x0608,0x0608,0x0608,0x0608,0x0644,0x064D,0x3215,0x320D,0x0616,0x0648,0x0641,0x0608,0x0608,0x0608,0x0608,0x0608
18,0x064E,0x064A,0x064A,0x064A,0x064A,0x064C,0x064D,0x320D,0x320D,0x320D,0x0648,0x0649,0x064A,0x064A,0x064A,0x064A,0x064A
19,0x0656,0x0652,0x0652,0x0652,0x0652,0x0652,0x0655,0x0603,0x320D,0x320D,0x0650,0x0652,0x0652,0x0652,0x0652,0x0652,0x0652
20,0x0610,0x0620,0x0620,0x0658,0x0659,0x0659,0x065B,0x063A,0x3207,0x063B,0x0660,0x0661,0x0661,0x0662,0x0620,0x0620,0x0620
21,0x0618,0x0608,0x0608,0x0644,0x0645,0x0652,0x0652,0x0642,0x3207,0x0643,0x0652,0x0652,0x0640,0x0641,0x0608,0x0608,0x0608
22,0x0618,0x0608,0x0608,0x0644,0x064D,0x3246,0x3247,0x3247,0x3247,0x3247,0x3247,0x321C,0x0648,0x0641,0x0608,0x0608,0x0608
23,0x0618,0x0608,0x0608,0x0644,0x064D,0x323F,0x3217,0x323E,0x323E,0x323E,0x3217,0x323E,0x0648,0x0641,0x0608,0x0608,0x0608
24,0x0618,0x0608,0x0608,0x0644,0x064D,0x323F,0x061F,0x323E,0x323E,0x323E,0x061F,0x323E,0x0648,0x0641,0x0608,0x0608,0x0608
25,0x0618,0x0608,0x0608,0x0644,0x064D,0x323F,0x3247,0x323E,0x0204,0x0205,0x3247,0x323E,0x0648,0x0641,0x0608,0x0608,0x0608
