map,SouthernIsland_Interior_Layout,width,27,height,24,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC
1,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4
2,0x05E6,0x05E5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05E4
3,0x01CE,0x01CF,0x05E6,0x05E5,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05E4,0x05F2,0x01CF
4,0x05D4,0x05D7,0x01CE,0x01CF,0x05E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05E4,0x05F2,0x01CF,0x05D4,0x05D5
5,0x05DC,0x05DD,0x05D4,0x05D7,0x01CE,0x01CF,0x05E6,0x05E5,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05F2,0x05F3,0x05E7,0x05E4,0x05F2,0x01CF,0x05D4,0x05D5,0x05DC,0x05DD
6,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D7,0x01CE,0x01CF,0x05D4,0x05D5,0x3001,0x3004,0x3001,0x3001,0x3001,0x3004,0x3001,0x05D4,0x05D5,0x01CE,0x01CF,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
7,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
8,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3004,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
9,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x3001,0x30C8,0x30C9,0x30CA,0x3001,0x30C8,0x30C9,0x30CA,0x3001,0x3001,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
10,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x3001,0x3001,0x30D0,0x30D1,0x30DA,0x3001,0x30D8,0x30D1,0x30D2,0x3001,0x3001,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
11,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x3001,0x30D0,0x30D2,0x3001,0x36C1,0x3001,0x30D0,0x30D2,0x3001,0x3001,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
12,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x3001,0x3001,0x30D0,0x30D2,0x3001,0x3001,0x3001,0x30D0,0x30D2,0x3001,0x3001,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
13,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x3001,0x3001,0x30D0,0x30D1,0x30C9,0x30C9,0x30C9,0x30D1,0x30D2,0x3001,0x3001,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
14,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x3004,0x3001,0x30D8,0x30D1,0x30D1,0x30D1,0x30D1,0x30D1,0x30DA,0x3001,0x3004,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
15,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x31CE,0x31CF,0x3001,0x30D8,0x30D9,0x30D9,0x30D9,0x30DA,0x3001,0x01CE,0x01CF,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
16,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05E4,0x05E5,0x05D4,0x05D7,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3004,0x05D6,0x05D5,0x05E4,0x05E5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
17,0x05DC,0x05DD,0x05D4,0x05D5,0x05E4,0x05F2,0x31CF,0x01CE,0x05F3,0x05F2,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x31CE,0x31CF,0x05DC,0x05DD,0x01CE,0x01CF,0x05E6,0x05E5,0x05D4,0x05D5,0x05DC,0x05DD
18,0x05D4,0x05D5,0x05E4,0x05F2,0x31CF,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3204,0x3204,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x01CE,0x01CF,0x05E6,0x05E5,0x05D4,0x05D5
19,0x05E4,0x05F2,0x31CF,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D0,0x05D2,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D7,0x01CE,0x01CF,0x05E6,0x05E5
20,0x31CF,0x05D4,0x05D5,0x05DC,0x05DD,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D8,0x05DA,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D7,0x01CE,0x01CF
21,0x05D5,0x05DC,0x05DD,0x05D6,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D8,0x05DA,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D7
22,0x05DD,0x05D6,0x05D5,0x05DC,0x05DD,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D8,0x05DA,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD
23,0x05D5,0x05DC,0x05DD,0x05D6,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D8,0x05DA,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05DC,0x05DD,0x05D4,0x05D5
