map,Underwater2_Layout,width,80,height,80,primary,gTileset_General,secondary,gTileset_Underwater
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
1,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0686,0x32A9,0x328A,0x3216,0x3216,0x3288,0x068E,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
2,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x0686,0x3289,0x3289,0x0685,0x061E,0x061E,0x061E,0x0686,0x3281,0x3281,0x3281,0x3281,0x3281,0x3281,0x32A9,0x3282,0x3216,0x3216,0x3216,0x3216,0x068E,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
3,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x068D,0x3282,0x3216,0x3216,0x3280,0x32A9,0x32A9,0x32A9,0x3281,0x3281,0x3281,0x3281,0x3281,0x3281,0x3281,0x32A9,0x3282,0x3216,0x3216,0x3216,0x3216,0x068E,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
4,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x068D,0x3282,0x3216,0x3216,0x3280,0x32A9,0x32A9,0x32A9,0x32A9,0x3281,0x3281,0x3281,0x3281,0x3281,0x3281,0x32A9,0x32A9,0x327A,0x3216,0x3216,0x3278,0x068E,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
5,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x367E,0x3279,0x3279,0x32A9,0x32A9,0x067D,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x067C,0x0623,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
6,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x067C,0x067C,0x067C,0x067C,0x0623,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
7,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
8,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061F,0x0606,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x0607,0x061D,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
9,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061F,0x0613,0x0606,0x061B,0x061C,0x3216,0x3216,0x3216,0x3216,0x3216,0x3216,0x3216,0x3216,0x3216,0x3216,0x061A,0x061B,0x061B,0x0607,0x0613,0x0613,0x061D,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
