map,Underwater4_Layout,width,120,height,40,primary,gTileset_General,secondary,gTileset_Underwater
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x060D,0x060E,0x060B,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0617,0x0614,0x0611,0x323E,0x323F,0x3257,0x3254,0x3256,0x3252,0x3255,0x323A,0x0610,0x0615,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0613,0x0617,0x0613,0x0617,0x0613,0x0617,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
1,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0614,0x0611,0x323E,0x323F,0x3257,0x3254,0x3256,0x3252,0x3255,0x323A,0x0610,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0615,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0617,0x0613,0x0617,0x0613,0x0617,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
2,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0606,0x061F,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0611,0x323E,0x323F,0x3257,0x324B,0x324C,0x3252,0x3255,0x323A,0x0610,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0613,0x0617,0x0613,0x0617,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
3,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0606,0x061F,0x0606,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x0609,0x323F,0x324B,0x324F,0x3254,0x3252,0x3255,0x323A,0x0610,0x061D,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0615,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0606,0x061F,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
4,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0617,0x0606,0x061F,0x0613,0x0613,0x060D,0x060E,0x060E,0x060E,0x060E,0x060F,0x0611,0x3233,0x3234,0x3257,0x3254,0x3252,0x3255,0x323A,0x0610,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0606,0x061F,0x0606,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
5,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x060D,0x060E,0x0622,0x0613,0x0613,0x0613,0x0613,0x0617,0x0623,0x0609,0x323F,0x3257,0x3254,0x3252,0x3255,0x323A,0x0610,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0615,0x060D,0x060E,0x060E,0x060E,0x060F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061F,0x0606,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
6,0x3613,0x3613,0x3613,0x3617,0x0613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x060F,0x0611,0x323F,0x3257,0x3254,0x3252,0x3255,0x323A,0x0618,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0615,0x0615,0x0613,0x0613,0x0613,0x0623,0x060F,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
7,0x3613,0x3613,0x3613,0x3617,0x3613,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x060D,0x0622,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0617,0x0611,0x323F,0x3257,0x3254,0x3252,0x3255,0x3242,0x3241,0x0618,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0615,0x0615,0x0613,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x0613,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061F,0x0613,0x0613,0x0613,0x060D,0x060E,0x060E,0x060E,0x060E,0x060F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
8,0x3613,0x3613,0x3613,0x360B,0x360F,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x0617,0x0615,0x0613,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0617,0x0611,0x323F,0x3257,0x3254,0x3252,0x325D,0x3251,0x3242,0x3243,0x3243,0x3243,0x3241,0x0618,0x061E,0x061E,0x061E,0x0607,0x0615,0x061D,0x0607,0x0613,0x0613,0x0613,0x0617,0x0617,0x0606,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x060D,0x0623,0x060D,0x060E,0x060E,0x060F,0x0623,0x060F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
9,0x3613,0x3613,0x3613,0x3613,0x3617,0x3613,0x3617,0x3613,0x3617,0x0613,0x0617,0x0613,0x3617,0x0615,0x0613,0x0613,0x0613,0x0613,0x0617,0x0617,0x0613,0x0615,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0617,0x0611,0x323F,0x3257,0x3254,0x325A,0x3251,0x325D,0x325B,0x325B,0x325B,0x3251,0x3242,0x3243,0x3243,0x3243,0x3241,0x0610,0x061D,0x0607,0x061D,0x061E,0x061E,0x061E,0x061F,0x0617,0x0611,0x0618,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x060D,0x060E,0x0623,0x060D,0x060B,0x0613,0x0613,0x060B,0x060F,0x0623,0x060E,0x060E,0x060F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
