map,Underwater_SealedChamber_Layout,width,22,height,48,primary,gTileset_General,secondary,gTileset_Underwater
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0x0613,0x0613,0x0613,0x0613,0x0606,0x061E,0x0665,0x0666,0x0667,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
1,0x0613,0x0613,0x0613,0x0606,0x061F,0x0606,0x066D,0x026E,0x066F,0x061E,0x0607,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
2,0x0613,0x0613,0x0613,0x0614,0x0606,0x0619,0x32C0,0x32C3,0x32C3,0x32C1,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
3,0x0613,0x0613,0x0613,0x0614,0x0611,0x32C0,0x32C4,0x32D0,0x32D1,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
4,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D0,0x32DC,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
5,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
6,0x0613,0x0613,0x0606,0x061F,0x0611,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x061D,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
7,0x0613,0x0613,0x0614,0x0606,0x0619,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0613,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
8,0x0613,0x0613,0x0614,0x0611,0x32BE,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0613,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
9,0x0613,0x0613,0x0614,0x0611,0x32BE,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0618,0x0607,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
10,0x0613,0x0613,0x0614,0x0611,0x32C0,0x32C4,0x32D4,0x32D6,0x32D2,0x32BA,0x32BE,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
11,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32BA,0x32BE,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
12,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32BA,0x32BE,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
13,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32C2,0x32C1,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
14,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32D3,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
15,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32DA,0x32D1,0x32BA,0x0610,0x061D,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
16,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D6,0x32D2,0x32BA,0x0618,0x0607,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
17,0x0613,0x0613,0x0614,0x0611,0x32B3,0x32B4,0x32CB,0x32CC,0x32D6,0x32D2,0x32C2,0x32C1,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
18,0x0613,0x0613,0x0614,0x0620,0x0609,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32D3,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
19,0x0613,0x0613,0x0623,0x060F,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32DA,0x32D1,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
20,0x0613,0x0613,0x0613,0x0611,0x0611,0x32B3,0x32B4,0x32D4,0x32D6,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
21,0x0613,0x0613,0x0613,0x0611,0x0611,0x32BE,0x32BC,0x32D4,0x32D6,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
22,0x0613,0x0613,0x0613,0x0614,0x0620,0x0609,0x32BC,0x32D4,0x32D6,0x32D6,0x32D2,0x32BA,0x0610,0x061D,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
23,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32CB,0x32CC,0x32D6,0x32D2,0x32BA,0x0618,0x0607,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
24,0x0613,0x0613,0x0613,0x0623,0x060F,0x0611,0x32B3,0x32B4,0x32D4,0x32D6,0x32D2,0x32C2,0x32C1,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
25,0x0613,0x0613,0x0613,0x0613,0x0614,0x0620,0x0609,0x32BC,0x32D4,0x32D6,0x32DA,0x32D1,0x32BA,0x0610,0x061D,0x0607,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
26,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32D9,0x32CC,0x32D6,0x32D2,0x32BA,0x0618,0x0607,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
27,0x0613,0x0613,0x0613,0x0613,0x0623,0x060F,0x0611,0x32C9,0x32B4,0x32D4,0x32D6,0x32D2,0x32C2,0x32C1,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
28,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0620,0x0609,0x32BC,0x32D4,0x32D6,0x32D2,0x32D3,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
29,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32D4,0x32D6,0x32DA,0x32D1,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
