map,Underwater_SootopolisCity_Layout,width,20,height,10,primary,gTileset_General,secondary,gTileset_Underwater
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0613,0x0613,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x0613
1,0x0613,0x0613,0x0606,0x061F,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x061D,0x0607,0x0613,0x0613
2,0x0613,0x0606,0x061F,0x0606,0x061E,0x061F,0x0613,0x0606,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x061D,0x061E,0x0607,0x061D,0x0607,0x0613
3,0x0606,0x061F,0x0606,0x061F,0x0606,0x061E,0x061E,0x061F,0x0613,0x0613,0x0613,0x061D,0x061E,0x061E,0x061E,0x0607,0x061D,0x0607,0x061D,0x0607
4,0x0614,0x0606,0x061F,0x0606,0x061F,0x0613,0x0606,0x061E,0x061E,0x061E,0x061E,0x061E,0x0607,0x0613,0x0613,0x061D,0x0607,0x061D,0x0607,0x0612
5,0x0614,0x0614,0x0606,0x061F,0x0606,0x061E,0x061C,0x3228,0x3228,0x3228,0x3228,0x3228,0x061A,0x061E,0x0607,0x0613,0x0612,0x0613,0x0612,0x0612
6,0x0614,0x0614,0x0614,0x0613,0x0614,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x061A,0x0607,0x061D,0x0607,0x0612,0x0612
7,0x0614,0x0614,0x0614,0x0613,0x0614,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x061A,0x0607,0x0612,0x0612,0x0612
8,0x0623,0x0623,0x0623,0x060B,0x0623,0x060C,0x3228,0x3228,0x3228,0x0224,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0622,0x0622,0x0622,0x0622
9,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x060B,0x060B,0x062B,0x062C,0x062D,0x060B,0x060B,0x060B,0x060B,0x0622,0x0613,0x0613,0x0613,0x0613
